id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
20168;https://www.airbnb.com/rooms/20168;Studio with private bathroom in the centre 1;59484;Alexander;f;Centrum-Oost;Private room in townhouse;Private room;1 private bath;1;1;"[""Wifi"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""TV"", ""Heating"", ""Refrigerator"", ""Free street parking"", ""Smoke alarm""]";236.00;339;2010-03-02;2020-04-09;89;10;10;10;10;10;9;2.58
27886;https://www.airbnb.com/rooms/27886;Romantic, stylish B&B houseboat in canal district;97647;Flip;t;Centrum-West;Private room in houseboat;Private room;1.5 baths;1;1;"[""Carbon monoxide alarm"", ""Private living room"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Patio or balcony"", ""Private entrance"", ""TV"", ""Wifi"", ""Smart lock"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Lake access"", ""Long term stays allowed"", ""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Breakfast""]";135.00;219;2012-01-09;2020-07-25;99;10;10;10;10;10;10;2.01
28871;https://www.airbnb.com/rooms/28871;Comfortable double room;124245;Edwin;t;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1;1;"[""Wifi"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Host greets you"", ""Lock on bedroom door"", ""Shampoo"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Essentials"", ""Dryer"", ""Hair dryer"", ""Heating"", ""Refrigerator"", ""Smoke alarm""]";75.00;336;2010-08-22;2020-09-20;97;10;10;10;10;10;10;2.68
29051;https://www.airbnb.com/rooms/29051;Comfortable single room;124245;Edwin;t;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1;1;"[""Coffee maker"", ""Host greets you"", ""Hair dryer"", ""Shampoo"", ""Hangers"", ""Bed linens"", ""Heating"", ""Lock on bedroom door"", ""Wifi"", ""Shower gel"", ""Essentials"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Refrigerator"", ""Hot water"", ""Private entrance""]";55.00;481;2011-03-16;2020-08-28;95;10;10;10;10;10;9;4.05
31080;https://www.airbnb.com/rooms/31080;2-story apartment + rooftop terrace;133488;Nienke;f;Zuid;Entire apartment;Entire home/apt;1 bath;3;3;"[""Microwave"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Fire extinguisher"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Dishwasher"", ""Host greets you"", ""Dryer"", ""Essentials"", ""Heating"", ""Washer""]";219.00;32;2011-08-06;2017-10-16;95;9;10;10;10;9;9;0.28
41125;https://www.airbnb.com/rooms/41125;Amsterdam Center Entire Apartment;178515;Fatih;t;Centrum-West;Entire apartment;Entire home/apt;1 bath;1;1;"[""Microwave"", ""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Keypad"", ""Washer""]";160.00;89;2010-11-25;2020-02-10;96;10;10;10;10;10;9;0.73
43109;https://www.airbnb.com/rooms/43109;Oasis in the middle of Amsterdam;188098;Aukje;f;Centrum-West;Entire apartment;Entire home/apt;1 bath;2;4;"[""Wifi"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Indoor fireplace"", ""Washer""]";211.00;60;2019-10-23;2020-03-07;98;10;7;9;10;10;9;4.31
46386;https://www.airbnb.com/rooms/46386;Cozy loft in central Amsterdam;207342;Joost;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;1;1;"[""Wifi"", ""Oven"", ""EV charger"", ""Patio or balcony"", ""Hangers"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Cooking basics"", ""Dishes and silverware"", ""Refrigerator"", ""Smoke alarm"", ""Stove""]";150.00;3;2010-09-16;2018-01-03;93;10;9;9;9;8;8;0.02
49552;https://www.airbnb.com/rooms/49552;Multatuli Luxury Guest Suite in top location;225987;Joanna & MP;t;Centrum-West;Entire guest suite;Entire home/apt;1 bath;2;2;"[""Shower gel"", ""Paid street parking off premises"", ""Crib"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Hair dryer"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Nespresso machine"", ""TV with Chromecast"", ""Fire extinguisher"", ""First aid kit"", ""Marie Stella Maris conditioner"", ""Children\u2019s dinnerware"", ""High chair"", ""Coffee maker"", ""Room-darkening shades"", ""Dryer \u2013 In building"", ""Bed linens"", ""Essentials"", ""Bathtub"", ""Pack \u2019n Play/travel crib"", ""Iron"", ""Wifi \u2013 250 Mbps"", ""Babysitter recommendations"", ""Dishes and silverware"", ""Hot water"", ""Bosch refrigerator"", ""Children\u2019s books and toys"", ""Marie Stella Maris body soap"", ""Host greets you"", ""Central heating"", ""Hangers"", ""Marie Stella Maris shampoo"", ""Smoke alarm"", ""Washer \u2013\u00a0In building"", ""Dedicated workspace"", ""Freezer"", ""Portable fans""]";146.00;368;2010-10-29;2020-09-23;98;10;10;10;10;10;10;2.98
50515;https://www.airbnb.com/rooms/50515;Family Home (No drugs, smoking or parties);231864;Karin;f;Bos en Lommer;Entire townhouse;Entire home/apt;1 bath;3;3;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Fire extinguisher"", ""Shampoo"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Kitchen"", ""TV"", ""Washer"", ""Smoke alarm""]";115.00;17;2014-04-17;2020-02-20;95;10;10;10;10;9;10;0.21
