"Магазин";"Выручка, руб";"Прибыль";"Реализация";"Списание, конт.";"Равномерность продаж";"Продажи макс";"День продажи макс";"Продажи мин";"День продажи мин";"Списание макс";"День макс списания"
"shop1";7240864;5745698;284;285;38,1525758975596;"112";"Вторник";"8";"Пятница";"60";"Среда"
"shop2";12416552;10749817;487;162;48,788171868658;"135";"Среда";"4";"Воскресенье";"75";"Пятница"
"shop3";3594936;1697915;141;562;11,6537343289404;"34";"Суббота";"0";"Среда";"142";"Среда"
"shop4";1886704;-136036;74;669;11,0582871316364;"27";"Среда";"0";"Понедельник";"135";"Четверг"
"shop5";13206928;11676602;518;84;31,6227766016838;"123";"Четверг";"25";"Суббота";"22";"Вторник"
"shop6";13589368;11469461;533;285;33,2186121094213;"118";"Суббота";"25";"Вторник";"100";"Вторник"
"shop7";15144624;13563660;594;33;35,0543795239557;"137";"Понедельник";"38";"Пятница";"14";"Пятница"
"shop8";10937784;9196891;429;242;32,3301422087515;"114";"Среда";"31";"Четверг";"54";"Понедельник"
"shop9";6883920;5300310;270;330;29,2680550706576;"98";"Четверг";"2";"Воскресенье";"144";"Воскресенье"
"shop10";16011488;14240870;628;71;37,4953965428393;"136";"Понедельник";"41";"Среда";"24";"Среда"
"Итог";100913168;83505188;3958;2723;308,642131284104;"";"";"";"";"";""
"Среднее";10091316,8;8350518,8;395,8;272,3;30,8642131284104;"";"";"";"";"";""
