"Магазин";"Выручка, руб";"Прибыль";"Реализация";"Списание, конт.";"Равномерность продаж";"Продажи макс";"День продажи макс";"Продажи мин";"День продажи мин";"Списание макс";"День макс списания"
"shop1";5079888;1887206;396;397;25,1452920898866;"88";"Вторник";"25";"Пятница";"117";"Понедельник"
"shop2";6465312;3777254;504;169;21,3229141222926;"104";"Четверг";"40";"Понедельник";"71";"Воскресенье"
"shop3";1693296;-993298;132;529;14,7470739632034;"51";"Четверг";"6";"Среда";"113";"Понедельник"
"shop4";577260;-1261570;45;406;10,5017005425652;"30";"Понедельник";"0";"Воскресенье";"93";"Воскресенье"
"shop5";8209920;5252970;640;103;40,2610529041701;"138";"Четверг";"43";"Вторник";"48";"Вторник"
"shop6";5092716;2640452;397;215;22,1939502696439;"97";"Пятница";"26";"Вторник";"71";"Четверг"
"shop7";8235576;5491562;642;49;36,4632887788722;"142";"Среда";"29";"Четверг";"12";"Четверг"
"shop8";4669392;2388774;364;205;35,9444015112229;"92";"Понедельник";"11";"Суббота";"50";"Четверг"
"shop9";4592424;1382608;358;438;46,0341488152313;"133";"Понедельник";"2";"Воскресенье";"125";"Воскресенье"
"shop10";9338784;6119068;728;82;29,0918086982115;"144";"Суббота";"59";"Пятница";"29";"Среда"
"Итог";53954568;26685026;4206;2593;281,7056316953;"";"";"";"";"";""
"Среднее";5395456,8;2668502,6;420,6;259,3;28,17056316953;"";"";"";"";"";""
