<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;03/01/18;000000;131.0300000;132.2000000;130.6300000;132.2000000;10522070
GAZP;D;04/01/18;000000;132.5000000;136.2000000;132.3000000;135.8900000;32092300
GAZP;D;05/01/18;000000;135.8000000;137.1200000;135.0800000;137.1200000;19965100
GAZP;D;09/01/18;000000;138.0000000;141.3500000;137.6000000;140.0000000;52204990
GAZP;D;10/01/18;000000;140.4900000;143.4300000;139.5800000;143.4300000;51756440
GAZP;D;11/01/18;000000;143.2300000;144.8000000;142.3100000;144.5800000;38571480
GAZP;D;12/01/18;000000;144.2100000;144.5400000;141.6400000;143.9900000;36760620
GAZP;D;15/01/18;000000;144.3300000;145.5000000;142.6000000;142.9900000;30037050
GAZP;D;16/01/18;000000;143.1600000;145.3500000;141.8900000;145.2900000;36982660
GAZP;D;17/01/18;000000;144.5100000;149.2000000;143.3100000;148.7000000;64088350
GAZP;D;18/01/18;000000;148.7900000;150.3500000;148.1300000;150.3500000;53857120
GAZP;D;19/01/18;000000;149.9400000;151.0000000;148.4000000;149.1300000;38996740
GAZP;D;22/01/18;000000;149.0900000;150.3000000;148.8500000;150.3000000;22745110
GAZP;D;23/01/18;000000;150.8000000;151.6500000;147.7100000;148.8000000;35760870
GAZP;D;24/01/18;000000;148.5100000;149.7000000;146.6000000;149.7000000;24826570
GAZP;D;25/01/18;000000;150.0200000;151.3900000;149.2700000;149.8000000;41825580
GAZP;D;26/01/18;000000;149.4000000;149.5500000;146.0100000;147.1900000;35266440
GAZP;D;29/01/18;000000;146.7700000;147.2900000;144.1500000;144.7500000;36073370
GAZP;D;30/01/18;000000;144.0000000;146.4300000;142.3700000;143.5000000;51240710
GAZP;D;31/01/18;000000;142.9800000;144.5000000;141.8000000;143.3600000;44234770
GAZP;D;01/02/18;000000;143.4300000;146.1700000;143.1300000;145.3900000;37413040
GAZP;D;02/02/18;000000;145.6800000;146.7800000;142.8800000;144.0000000;39050390
GAZP;D;05/02/18;000000;142.8700000;145.2000000;142.3000000;144.5300000;33048750
GAZP;D;06/02/18;000000;141.7300000;142.8200000;140.4000000;141.5900000;51830950
GAZP;D;07/02/18;000000;142.4500000;143.3900000;141.0000000;141.0000000;32853320
GAZP;D;08/02/18;000000;140.4700000;140.8500000;137.1400000;137.2000000;42662580
GAZP;D;09/02/18;000000;135.9900000;136.7000000;132.8000000;135.5600000;53098540
GAZP;D;12/02/18;000000;136.8700000;138.1000000;136.0300000;137.3000000;29360450
GAZP;D;13/02/18;000000;138.0000000;140.1000000;137.4500000;139.8500000;36398240
GAZP;D;14/02/18;000000;140.0300000;140.5700000;137.0200000;138.8900000;34106600
GAZP;D;15/02/18;000000;139.7900000;140.9900000;137.0600000;137.0600000;29054840
GAZP;D;16/02/18;000000;137.8500000;139.4900000;136.7700000;137.0600000;24628330
GAZP;D;19/02/18;000000;137.3600000;138.7000000;137.1300000;138.3100000;14431390
GAZP;D;20/02/18;000000;138.7800000;144.2900000;138.7800000;141.3200000;62769320
GAZP;D;21/02/18;000000;140.9000000;144.0000000;140.5300000;144.0000000;24886450
GAZP;D;22/02/18;000000;143.4300000;145.9700000;142.6300000;145.9700000;29870140
GAZP;D;26/02/18;000000;148.0700000;149.9800000;146.4200000;147.0000000;37150990
GAZP;D;27/02/18;000000;147.2000000;147.4900000;144.8500000;146.5000000;24771080
GAZP;D;28/02/18;000000;145.5000000;145.7500000;142.2500000;143.1600000;36217520
GAZP;D;01/03/18;000000;141.0000000;142.0000000;139.3900000;140.1000000;47285230
GAZP;D;02/03/18;000000;139.6300000;140.5900000;137.7700000;138.5700000;26799640
GAZP;D;05/03/18;000000;138.8000000;141.8300000;138.5700000;141.6000000;23220830
GAZP;D;06/03/18;000000;142.2500000;143.4900000;140.4700000;140.5900000;24358140
GAZP;D;07/03/18;000000;139.9600000;139.9800000;137.3800000;138.5600000;28189860
GAZP;D;09/03/18;000000;138.8000000;139.8100000;137.7900000;139.8100000;12080580
GAZP;D;12/03/18;000000;140.4400000;141.9600000;140.1100000;141.3500000;16899310
GAZP;D;13/03/18;000000;141.1000000;142.9300000;139.9500000;142.7500000;22899860
GAZP;D;14/03/18;000000;141.8200000;141.9800000;138.8000000;138.8000000;31765180
GAZP;D;15/03/18;000000;138.5800000;140.0600000;138.0000000;138.2500000;34232460
GAZP;D;16/03/18;000000;138.6600000;141.0000000;137.1100000;141.0000000;42459720
GAZP;D;19/03/18;000000;141.2000000;141.7700000;139.4300000;139.9100000;21582910
GAZP;D;20/03/18;000000;140.2500000;142.7000000;139.3100000;142.4500000;25931850
GAZP;D;21/03/18;000000;142.7000000;144.0000000;140.8400000;141.5100000;31141240
GAZP;D;22/03/18;000000;141.7300000;142.0800000;139.2000000;139.5000000;20677700
GAZP;D;23/03/18;000000;138.7800000;142.4900000;137.8200000;142.0000000;33554360
GAZP;D;26/03/18;000000;142.0100000;142.0800000;138.2700000;138.2700000;27556030
GAZP;D;27/03/18;000000;139.2300000;141.7000000;139.0100000;140.8000000;25427090
GAZP;D;28/03/18;000000;140.0100000;141.6700000;139.1300000;140.4700000;21273130
GAZP;D;29/03/18;000000;140.7100000;142.8000000;140.7100000;142.8000000;23762490
GAZP;D;30/03/18;000000;143.0000000;143.3100000;142.0500000;142.3300000;8337160
GAZP;D;02/04/18;000000;142.3900000;143.7000000;140.3200000;140.3200000;18501160
GAZP;D;03/04/18;000000;140.3200000;141.3000000;139.7000000;141.1300000;13758480
GAZP;D;04/04/18;000000;141.0200000;141.5200000;139.0200000;140.1800000;22247310
GAZP;D;05/04/18;000000;140.6600000;141.3500000;139.8000000;140.5000000;20436610
GAZP;D;06/04/18;000000;140.1300000;141.9700000;139.4500000;141.5000000;27346240
GAZP;D;09/04/18;000000;140.9300000;141.2200000;128.1900000;135.0100000;91006200
GAZP;D;10/04/18;000000;134.9500000;141.9700000;133.5000000;140.6200000;58453070
GAZP;D;11/04/18;000000;141.0000000;146.2900000;140.7100000;145.2700000;62134680
GAZP;D;12/04/18;000000;145.7100000;146.8900000;142.1300000;145.9900000;40706810
