<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MVID;D;03/01/18;000000;412.4000000;415.0000000;401.8000000;407.8000000;63290
MVID;D;04/01/18;000000;404.8000000;411.6000000;401.7000000;405.1000000;69730
MVID;D;05/01/18;000000;400.2000000;411.0000000;400.1000000;405.6000000;66030
MVID;D;09/01/18;000000;404.3000000;416.6000000;403.3000000;411.0000000;92680
MVID;D;10/01/18;000000;407.1000000;416.3000000;404.0000000;404.0000000;86190
MVID;D;11/01/18;000000;405.0000000;410.0000000;402.2000000;408.9000000;98550
MVID;D;12/01/18;000000;407.2000000;409.0000000;405.4000000;405.4000000;79800
MVID;D;15/01/18;000000;398.5000000;409.0000000;398.5000000;408.7000000;77540
MVID;D;16/01/18;000000;406.9000000;408.0000000;399.6000000;404.6000000;77120
MVID;D;17/01/18;000000;397.9000000;405.0000000;397.9000000;400.9000000;88210
MVID;D;18/01/18;000000;401.0000000;406.9000000;401.0000000;406.9000000;121270
MVID;D;19/01/18;000000;404.2000000;408.5000000;398.0000000;401.9000000;77800
MVID;D;22/01/18;000000;399.7000000;404.9000000;396.6000000;396.7000000;156650
MVID;D;23/01/18;000000;399.6000000;399.7000000;391.8000000;393.9000000;162630
MVID;D;24/01/18;000000;395.2000000;402.4000000;394.0000000;400.0000000;155450
MVID;D;25/01/18;000000;396.3000000;401.5000000;396.3000000;398.3000000;190190
MVID;D;26/01/18;000000;399.0000000;402.5000000;396.9000000;400.1000000;200310
MVID;D;29/01/18;000000;404.9000000;404.9000000;396.3000000;402.0000000;353390
MVID;D;30/01/18;000000;398.1000000;401.8000000;396.3000000;400.0000000;333410
MVID;D;31/01/18;000000;398.3000000;402.1000000;396.9000000;400.5000000;315600
MVID;D;01/02/18;000000;396.7000000;401.7000000;396.7000000;397.8000000;328800
MVID;D;02/02/18;000000;396.5000000;418.7000000;396.5000000;418.7000000;702300
MVID;D;05/02/18;000000;417.8000000;420.0000000;405.5000000;420.0000000;979100
MVID;D;06/02/18;000000;419.0000000;422.4000000;406.7000000;422.3000000;305600
MVID;D;07/02/18;000000;422.1000000;446.2000000;414.0000000;437.9000000;322060
MVID;D;08/02/18;000000;442.0000000;444.9000000;424.2000000;444.0000000;130620
