<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SIBN;D;03/01/18;000000;244.8000000;246.6000000;242.1500000;242.5000000;174440
SIBN;D;04/01/18;000000;243.3500000;245.2500000;242.0500000;243.7000000;193550
SIBN;D;05/01/18;000000;243.8500000;244.7500000;242.0500000;244.2000000;144310
SIBN;D;09/01/18;000000;244.5500000;249.1000000;244.2500000;249.1000000;324490
SIBN;D;10/01/18;000000;249.1000000;253.2500000;246.7500000;253.0000000;419760
SIBN;D;11/01/18;000000;253.7500000;256.8500000;250.2000000;255.7000000;415460
SIBN;D;12/01/18;000000;256.0000000;268.3000000;253.8000000;259.9000000;525590
SIBN;D;15/01/18;000000;261.8500000;264.0000000;257.9500000;258.5500000;259770
SIBN;D;16/01/18;000000;259.6500000;260.7000000;258.0000000;259.1000000;156140
SIBN;D;17/01/18;000000;258.9500000;262.0500000;253.9500000;262.0500000;271740
SIBN;D;18/01/18;000000;261.5500000;271.0000000;261.4500000;269.9500000;702900
SIBN;D;19/01/18;000000;270.0000000;272.1000000;264.0000000;266.4500000;189460
SIBN;D;22/01/18;000000;267.4000000;269.2500000;265.7500000;268.5000000;172430
SIBN;D;23/01/18;000000;269.1500000;270.3500000;265.0000000;269.3500000;330540
SIBN;D;24/01/18;000000;269.0000000;270.9500000;266.5500000;269.0000000;139920
SIBN;D;25/01/18;000000;269.7000000;278.5000000;268.7000000;277.9000000;329150
SIBN;D;26/01/18;000000;278.9500000;280.0000000;274.0000000;276.7000000;211110
SIBN;D;29/01/18;000000;276.7000000;280.0000000;276.1500000;279.6000000;168080
SIBN;D;30/01/18;000000;277.3000000;282.3500000;277.0500000;280.1000000;146880
SIBN;D;31/01/18;000000;280.5500000;281.4500000;278.6000000;279.1000000;221920
SIBN;D;01/02/18;000000;280.5000000;285.2000000;280.1000000;281.2000000;310110
SIBN;D;02/02/18;000000;281.6000000;285.2000000;281.5000000;283.7000000;245980
SIBN;D;05/02/18;000000;283.2500000;283.2500000;279.6000000;281.2000000;351760
SIBN;D;06/02/18;000000;261.0000000;279.0000000;260.7500000;274.0000000;365380
SIBN;D;07/02/18;000000;276.7500000;282.3000000;274.6000000;281.9000000;255910
SIBN;D;08/02/18;000000;278.1000000;287.2000000;276.4500000;286.2000000;213780
SIBN;D;09/02/18;000000;284.0500000;285.0000000;278.7000000;280.1500000;244870
SIBN;D;12/02/18;000000;281.3500000;287.9000000;278.5500000;281.4500000;222220
SIBN;D;13/02/18;000000;281.3500000;284.9500000;278.8000000;282.3000000;271940
SIBN;D;14/02/18;000000;283.0000000;283.3500000;279.4000000;280.0000000;495700
SIBN;D;15/02/18;000000;284.6000000;285.5000000;279.3000000;283.9500000;290340
SIBN;D;16/02/18;000000;285.0000000;285.8000000;276.8000000;278.0500000;407380
SIBN;D;19/02/18;000000;278.6500000;282.5000000;278.6500000;282.3000000;213430
SIBN;D;20/02/18;000000;282.3000000;283.9500000;280.7500000;281.6000000;161780
SIBN;D;21/02/18;000000;282.2000000;282.8500000;280.1000000;281.9500000;114380
SIBN;D;22/02/18;000000;281.9500000;285.0000000;278.2500000;283.0500000;216440
SIBN;D;26/02/18;000000;285.0000000;288.0500000;283.4500000;284.6500000;299190
SIBN;D;27/02/18;000000;284.6500000;287.0000000;283.7000000;286.9000000;210940
SIBN;D;28/02/18;000000;287.2000000;287.8500000;283.9000000;283.9000000;158090
SIBN;D;01/03/18;000000;283.5500000;294.8000000;281.0500000;294.8000000;323300
SIBN;D;02/03/18;000000;293.4000000;293.4500000;287.1000000;291.4500000;109960
SIBN;D;05/03/18;000000;292.4500000;294.5500000;288.1000000;291.8500000;126330
SIBN;D;06/03/18;000000;291.7500000;294.9000000;291.7000000;294.6500000;119570
SIBN;D;07/03/18;000000;293.1500000;294.2000000;290.5500000;291.8500000;77500
SIBN;D;09/03/18;000000;292.2500000;294.2000000;290.3000000;292.7500000;81910
SIBN;D;12/03/18;000000;293.5500000;295.9000000;289.6500000;290.0500000;87350
SIBN;D;13/03/18;000000;291.0000000;292.3000000;286.0000000;288.0000000;234850
SIBN;D;14/03/18;000000;287.6500000;287.7000000;285.4000000;286.7000000;82680
SIBN;D;15/03/18;000000;287.6000000;288.0000000;281.1500000;284.5000000;154110
SIBN;D;16/03/18;000000;284.0000000;289.0500000;282.0000000;289.0500000;195730
SIBN;D;19/03/18;000000;289.0000000;292.1500000;287.3500000;290.3500000;134920
SIBN;D;20/03/18;000000;290.1000000;292.6000000;288.5000000;292.4500000;211460
SIBN;D;21/03/18;000000;292.1500000;293.2500000;291.2000000;292.9000000;107640
SIBN;D;22/03/18;000000;293.0000000;293.2500000;289.0000000;290.0000000;213750
