<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
UPRO;D;03/01/18;000000;2.5690000;2.5700000;2.5290000;2.5670000;10909000
UPRO;D;04/01/18;000000;2.5600000;2.5860000;2.5420000;2.5540000;7429000
UPRO;D;05/01/18;000000;2.5690000;2.5690000;2.5320000;2.5680000;4556000
UPRO;D;09/01/18;000000;2.5770000;2.6070000;2.5520000;2.6000000;16275000
UPRO;D;10/01/18;000000;2.5810000;2.5940000;2.5520000;2.5940000;14733000
UPRO;D;11/01/18;000000;2.5950000;2.5980000;2.5700000;2.5950000;8084000
UPRO;D;12/01/18;000000;2.5880000;2.5940000;2.5530000;2.5800000;7216000
UPRO;D;15/01/18;000000;2.5840000;2.6110000;2.5720000;2.6040000;17132000
UPRO;D;16/01/18;000000;2.6040000;2.6100000;2.5520000;2.5520000;13919000
UPRO;D;17/01/18;000000;2.5550000;2.5880000;2.5360000;2.5880000;16211000
UPRO;D;18/01/18;000000;2.5940000;2.6040000;2.5520000;2.6000000;37375000
UPRO;D;19/01/18;000000;2.6040000;2.6700000;2.5980000;2.6550000;42630000
UPRO;D;22/01/18;000000;2.6690000;2.7090000;2.6370000;2.7040000;49753000
UPRO;D;23/01/18;000000;2.7150000;2.7180000;2.6820000;2.7000000;15442000
UPRO;D;24/01/18;000000;2.6710000;2.7120000;2.6700000;2.7000000;43013000
UPRO;D;25/01/18;000000;2.7010000;2.7100000;2.6840000;2.6950000;19109000
UPRO;D;26/01/18;000000;2.6950000;2.7090000;2.6580000;2.6580000;56703000
UPRO;D;29/01/18;000000;2.6820000;2.6830000;2.6080000;2.6080000;7543000
UPRO;D;30/01/18;000000;2.6010000;2.6320000;2.5370000;2.5520000;131663000
UPRO;D;31/01/18;000000;2.5510000;2.5540000;2.5260000;2.5300000;85696000
UPRO;D;01/02/18;000000;2.5400000;2.5700000;2.5200000;2.5700000;168862000
UPRO;D;02/02/18;000000;2.5410000;2.5900000;2.5410000;2.5550000;23113000
UPRO;D;05/02/18;000000;2.5580000;2.5620000;2.5320000;2.5500000;25114000
UPRO;D;06/02/18;000000;2.5300000;2.5660000;2.5070000;2.5320000;20063000
UPRO;D;07/02/18;000000;2.5460000;2.5740000;2.5320000;2.5740000;23509000
UPRO;D;08/02/18;000000;2.5550000;2.5700000;2.5400000;2.5600000;15755000
UPRO;D;09/02/18;000000;2.5400000;2.5740000;2.5390000;2.5670000;17684000
UPRO;D;12/02/18;000000;2.5680000;2.5850000;2.5480000;2.5850000;8135000
UPRO;D;13/02/18;000000;2.5810000;2.7040000;2.5600000;2.6400000;31687000
UPRO;D;14/02/18;000000;2.6410000;2.7000000;2.6070000;2.6140000;20301000
UPRO;D;15/02/18;000000;2.6380000;2.6900000;2.6090000;2.6490000;17584000
UPRO;D;16/02/18;000000;2.6730000;2.6940000;2.6450000;2.6760000;11907000
UPRO;D;19/02/18;000000;2.6910000;2.7020000;2.6620000;2.6940000;20048000
UPRO;D;20/02/18;000000;2.6840000;2.7010000;2.6560000;2.6610000;8931000
UPRO;D;21/02/18;000000;2.6480000;2.6790000;2.6330000;2.6580000;7984000
UPRO;D;22/02/18;000000;2.6330000;2.6830000;2.6330000;2.6830000;18861000
UPRO;D;26/02/18;000000;2.6790000;2.7300000;2.6790000;2.6970000;22717000
UPRO;D;27/02/18;000000;2.6970000;2.7080000;2.6780000;2.6900000;10564000
UPRO;D;28/02/18;000000;2.6730000;2.7280000;2.6720000;2.7240000;16795000
UPRO;D;01/03/18;000000;2.7160000;2.7300000;2.6820000;2.7300000;18470000
UPRO;D;02/03/18;000000;2.7290000;2.8020000;2.7290000;2.7540000;49051000
UPRO;D;05/03/18;000000;2.7600000;2.7800000;2.7290000;2.7350000;10229000
UPRO;D;06/03/18;000000;2.7540000;2.7590000;2.7130000;2.7340000;9653000
UPRO;D;07/03/18;000000;2.7190000;2.7810000;2.6950000;2.7210000;22702000
UPRO;D;09/03/18;000000;2.7220000;2.7990000;2.7220000;2.7910000;6561000
UPRO;D;12/03/18;000000;2.7620000;2.8410000;2.7500000;2.7620000;24718000
UPRO;D;13/03/18;000000;2.7790000;2.8220000;2.7440000;2.8040000;34004000
UPRO;D;14/03/18;000000;2.7870000;2.8310000;2.7700000;2.8310000;14907000
UPRO;D;15/03/18;000000;2.8170000;2.8300000;2.7660000;2.7800000;18760000
UPRO;D;16/03/18;000000;2.7870000;2.8000000;2.7500000;2.7500000;64626000
UPRO;D;19/03/18;000000;2.7720000;2.8000000;2.7720000;2.7900000;21191000
UPRO;D;20/03/18;000000;2.7850000;2.8160000;2.7760000;2.8040000;61129000
UPRO;D;21/03/18;000000;2.8060000;2.8310000;2.7910000;2.8190000;33091000
UPRO;D;22/03/18;000000;2.8160000;2.8310000;2.8080000;2.8300000;28350000
UPRO;D;23/03/18;000000;2.8200000;2.8290000;2.7760000;2.8200000;18387000
UPRO;D;26/03/18;000000;2.8000000;2.8190000;2.7940000;2.8100000;14717000
UPRO;D;27/03/18;000000;2.8130000;2.8370000;2.7910000;2.8300000;19979000
UPRO;D;28/03/18;000000;2.8160000;2.8500000;2.8160000;2.8400000;41816000
UPRO;D;29/03/18;000000;2.8320000;2.8500000;2.8300000;2.8420000;26014000
UPRO;D;30/03/18;000000;2.8510000;2.9100000;2.8420000;2.9100000;31553000
UPRO;D;02/04/18;000000;2.9040000;2.9230000;2.8950000;2.9130000;16660000
UPRO;D;03/04/18;000000;2.9050000;2.9100000;2.8510000;2.8950000;9080000
UPRO;D;04/04/18;000000;2.8980000;2.9060000;2.8590000;2.8960000;14432000
UPRO;D;05/04/18;000000;2.9070000;2.9300000;2.8500000;2.8940000;30405000
UPRO;D;06/04/18;000000;2.8880000;2.9000000;2.8500000;2.8600000;7357000
UPRO;D;09/04/18;000000;2.8600000;2.8600000;2.6000000;2.6500000;114872000
UPRO;D;10/04/18;000000;2.6950000;2.7200000;2.6500000;2.6830000;30124000
UPRO;D;11/04/18;000000;2.6760000;2.7230000;2.6520000;2.6730000;33503000
UPRO;D;12/04/18;000000;2.6680000;2.7020000;2.6500000;2.6820000;20509000
UPRO;D;13/04/18;000000;2.6710000;2.7300000;2.6600000;2.6790000;33269000
UPRO;D;16/04/18;000000;2.6140000;2.7150000;2.6140000;2.6700000;65140000
UPRO;D;17/04/18;000000;2.6880000;2.7000000;2.6580000;2.6800000;34989000
UPRO;D;18/04/18;000000;2.6650000;2.7530000;2.6650000;2.7010000;25003000
UPRO;D;19/04/18;000000;2.7240000;2.7540000;2.6900000;2.7500000;39390000
UPRO;D;20/04/18;000000;2.7430000;2.7500000;2.7100000;2.7330000;9958000
UPRO;D;23/04/18;000000;2.7240000;2.7460000;2.7000000;2.7230000;18297000
UPRO;D;24/04/18;000000;2.7230000;2.7390000;2.7070000;2.7380000;8867000
UPRO;D;25/04/18;000000;2.7070000;2.7270000;2.7050000;2.7090000;6886000
UPRO;D;26/04/18;000000;2.7150000;2.7660000;2.7050000;2.7420000;42313000
UPRO;D;27/04/18;000000;2.7610000;2.7700000;2.7370000;2.7400000;38621000
UPRO;D;28/04/18;000000;2.7330000;2.7560000;2.7200000;2.7310000;8548000
UPRO;D;30/04/18;000000;2.7460000;2.7760000;2.7460000;2.7760000;23196000
UPRO;D;02/05/18;000000;2.7560000;2.7800000;2.7450000;2.7600000;11919000
UPRO;D;03/05/18;000000;2.7600000;2.7720000;2.7150000;2.7160000;15223000
UPRO;D;04/05/18;000000;2.7310000;2.7450000;2.7190000;2.7400000;5698000
UPRO;D;07/05/18;000000;2.7490000;2.7600000;2.7470000;2.7600000;6855000
UPRO;D;08/05/18;000000;2.7600000;2.7670000;2.7260000;2.7420000;7961000
UPRO;D;10/05/18;000000;2.7550000;2.7710000;2.7410000;2.7500000;13823000
UPRO;D;11/05/18;000000;2.7690000;2.7690000;2.7400000;2.7500000;25852000
UPRO;D;14/05/18;000000;2.7440000;2.7600000;2.7020000;2.7100000;29369000
UPRO;D;15/05/18;000000;2.7210000;2.7430000;2.7110000;2.7300000;30120000
UPRO;D;16/05/18;000000;2.7390000;2.7460000;2.7170000;2.7250000;15189000
UPRO;D;17/05/18;000000;2.7300000;2.7570000;2.7220000;2.7500000;31499000
UPRO;D;18/05/18;000000;2.7390000;2.7510000;2.7310000;2.7510000;23139000
UPRO;D;21/05/18;000000;2.7580000;2.7820000;2.7510000;2.7820000;9997000
UPRO;D;22/05/18;000000;2.7830000;2.7960000;2.7800000;2.7900000;15811000
UPRO;D;23/05/18;000000;2.7780000;2.7930000;2.7170000;2.7250000;32720000
UPRO;D;24/05/18;000000;2.7380000;2.7450000;2.7050000;2.7130000;28477000
UPRO;D;25/05/18;000000;2.7130000;2.7310000;2.6370000;2.6990000;51391000
UPRO;D;28/05/18;000000;2.7040000;2.7850000;2.6820000;2.7850000;20628000
UPRO;D;29/05/18;000000;2.7900000;2.8240000;2.7160000;2.8000000;41551000
UPRO;D;30/05/18;000000;2.8130000;2.8390000;2.7920000;2.8010000;46066000
UPRO;D;31/05/18;000000;2.7860000;2.8440000;2.7860000;2.8440000;103375000
UPRO;D;01/06/18;000000;2.8430000;2.8670000;2.8250000;2.8640000;10179000
UPRO;D;04/06/18;000000;2.8650000;2.9190000;2.8510000;2.9100000;19820000
UPRO;D;05/06/18;000000;2.8880000;2.9090000;2.8740000;2.8850000;6100000
UPRO;D;06/06/18;000000;2.8640000;2.9040000;2.8460000;2.8510000;11411000
UPRO;D;07/06/18;000000;2.8720000;2.9180000;2.8590000;2.8910000;33504000
UPRO;D;08/06/18;000000;2.8730000;2.8810000;2.8410000;2.8460000;8819000
UPRO;D;09/06/18;000000;2.8640000;2.8650000;2.8300000;2.8560000;1524000
UPRO;D;11/06/18;000000;2.8640000;2.9000000;2.8110000;2.8840000;8849000
UPRO;D;13/06/18;000000;2.9000000;2.9000000;2.8410000;2.8570000;16895000
UPRO;D;14/06/18;000000;2.8400000;2.9020000;2.8220000;2.8220000;21572000
UPRO;D;15/06/18;000000;2.8440000;2.8490000;2.7590000;2.7590000;11888000
UPRO;D;18/06/18;000000;2.7790000;2.8580000;2.7790000;2.8000000;32154000
UPRO;D;19/06/18;000000;2.8140000;2.8500000;2.7600000;2.8500000;20572000
UPRO;D;20/06/18;000000;2.8480000;2.8740000;2.8230000;2.8410000;21188000
UPRO;D;21/06/18;000000;2.8600000;2.8870000;2.8490000;2.8490000;10149000
UPRO;D;22/06/18;000000;2.8670000;2.8790000;2.8500000;2.8510000;6365000
UPRO;D;25/06/18;000000;2.8800000;2.8940000;2.8500000;2.8670000;12050000
UPRO;D;26/06/18;000000;2.8620000;2.8850000;2.8550000;2.8650000;2929000
UPRO;D;27/06/18;000000;2.8600000;2.8930000;2.8600000;2.8730000;9130000
UPRO;D;28/06/18;000000;2.8600000;2.8900000;2.8600000;2.8710000;11320000
UPRO;D;29/06/18;000000;2.8700000;2.9070000;2.8700000;2.9070000;32876000
UPRO;D;02/07/18;000000;2.8410000;2.8460000;2.8000000;2.8050000;20896000
UPRO;D;03/07/18;000000;2.8000000;2.8180000;2.7510000;2.7700000;11604000
UPRO;D;04/07/18;000000;2.7820000;2.8500000;2.7530000;2.8460000;10760000
UPRO;D;05/07/18;000000;2.8180000;2.8950000;2.8110000;2.8950000;17793000
UPRO;D;06/07/18;000000;2.8990000;2.8990000;2.8570000;2.8990000;7701000
UPRO;D;09/07/18;000000;2.9000000;2.9000000;2.8350000;2.8750000;19823000
UPRO;D;10/07/18;000000;2.8750000;2.9050000;2.8370000;2.8370000;8226000
UPRO;D;11/07/18;000000;2.8330000;2.8740000;2.8280000;2.8510000;14814000
UPRO;D;12/07/18;000000;2.8440000;2.9000000;2.8390000;2.9000000;20134000
UPRO;D;13/07/18;000000;2.9010000;2.9020000;2.8400000;2.8450000;67031000
UPRO;D;16/07/18;000000;2.8400000;2.8600000;2.8020000;2.8070000;10735000
UPRO;D;17/07/18;000000;2.8010000;2.8390000;2.7800000;2.8300000;12369000
UPRO;D;18/07/18;000000;2.8400000;2.8400000;2.8000000;2.8280000;7840000
UPRO;D;19/07/18;000000;2.8080000;2.8380000;2.8050000;2.8200000;9929000
UPRO;D;20/07/18;000000;2.8130000;2.8400000;2.8070000;2.8200000;67334000
UPRO;D;23/07/18;000000;2.8390000;2.8400000;2.7900000;2.8050000;23063000
UPRO;D;24/07/18;000000;2.7930000;2.8240000;2.7770000;2.8000000;23284000
