<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;03/01/18;000000;0.0473300;0.0495000;0.0472200;0.0495000;17351050000
VTBR;D;04/01/18;000000;0.0495100;0.0502700;0.0491100;0.0500500;18052210000
VTBR;D;05/01/18;000000;0.0502800;0.0502800;0.0495100;0.0502000;9390720000
VTBR;D;09/01/18;000000;0.0503300;0.0518700;0.0503200;0.0508000;32052770000
VTBR;D;10/01/18;000000;0.0510000;0.0513000;0.0504000;0.0505100;23689810000
VTBR;D;11/01/18;000000;0.0505100;0.0507000;0.0497100;0.0505000;22467720000
VTBR;D;12/01/18;000000;0.0505200;0.0510500;0.0500800;0.0509600;16328010000
VTBR;D;15/01/18;000000;0.0511900;0.0517900;0.0508100;0.0508100;12923880000
VTBR;D;16/01/18;000000;0.0509900;0.0510300;0.0502600;0.0509000;15299300000
VTBR;D;17/01/18;000000;0.0506100;0.0517000;0.0502800;0.0513900;23185900000
VTBR;D;18/01/18;000000;0.0512800;0.0517500;0.0504500;0.0506000;22570810000
VTBR;D;19/01/18;000000;0.0508900;0.0509300;0.0491000;0.0496500;19513620000
VTBR;D;22/01/18;000000;0.0497000;0.0502500;0.0496100;0.0501400;11988140000
VTBR;D;23/01/18;000000;0.0501400;0.0502500;0.0491100;0.0497800;14435380000
VTBR;D;24/01/18;000000;0.0496200;0.0496700;0.0488800;0.0490200;14540870000
VTBR;D;25/01/18;000000;0.0491000;0.0504500;0.0490100;0.0499000;29435210000
VTBR;D;26/01/18;000000;0.0498000;0.0498600;0.0487100;0.0493500;16633160000
VTBR;D;29/01/18;000000;0.0491900;0.0495900;0.0487400;0.0490000;11768100000
VTBR;D;30/01/18;000000;0.0489000;0.0495000;0.0486400;0.0488000;10936180000
VTBR;D;31/01/18;000000;0.0488800;0.0494000;0.0486500;0.0494000;9230750000
VTBR;D;01/02/18;000000;0.0493400;0.0500900;0.0490500;0.0493800;23628630000
VTBR;D;02/02/18;000000;0.0493900;0.0496700;0.0487500;0.0492000;17529670000
VTBR;D;05/02/18;000000;0.0488300;0.0492500;0.0485300;0.0490800;13527860000
VTBR;D;06/02/18;000000;0.0483900;0.0488200;0.0468000;0.0470200;47549180000
VTBR;D;07/02/18;000000;0.0475700;0.0479500;0.0472200;0.0476100;14266640000
