<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ZILL;D;03/01/18;000000;970.0000000;1100.0000000;965.0000000;1060.0000000;140
ZILL;D;04/01/18;000000;1070.0000000;1075.0000000;1060.0000000;1075.0000000;3
ZILL;D;05/01/18;000000;1060.0000000;1060.0000000;1035.0000000;1035.0000000;9
ZILL;D;09/01/18;000000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;1
ZILL;D;10/01/18;000000;1030.0000000;1030.0000000;1015.0000000;1015.0000000;32
ZILL;D;11/01/18;000000;1015.0000000;1030.0000000;1015.0000000;1030.0000000;4
ZILL;D;12/01/18;000000;1040.0000000;1110.0000000;1040.0000000;1085.0000000;233
ZILL;D;15/01/18;000000;1105.0000000;1230.0000000;1090.0000000;1090.0000000;412
ZILL;D;16/01/18;000000;1115.0000000;1150.0000000;1115.0000000;1130.0000000;21
ZILL;D;17/01/18;000000;1125.0000000;1125.0000000;1065.0000000;1080.0000000;22
ZILL;D;18/01/18;000000;1085.0000000;1090.0000000;1085.0000000;1090.0000000;2
ZILL;D;19/01/18;000000;1050.0000000;1095.0000000;1045.0000000;1095.0000000;26
ZILL;D;22/01/18;000000;1100.0000000;1100.0000000;1070.0000000;1100.0000000;574
ZILL;D;24/01/18;000000;1070.0000000;1110.0000000;1040.0000000;1075.0000000;49
ZILL;D;25/01/18;000000;1050.0000000;1120.0000000;1050.0000000;1070.0000000;28
ZILL;D;26/01/18;000000;1085.0000000;1085.0000000;1000.0000000;1000.0000000;760
ZILL;D;29/01/18;000000;1050.0000000;1050.0000000;1000.0000000;1005.0000000;185
ZILL;D;30/01/18;000000;1020.0000000;1020.0000000;1000.0000000;1015.0000000;53
ZILL;D;31/01/18;000000;1020.0000000;1030.0000000;1000.0000000;1000.0000000;153
ZILL;D;01/02/18;000000;1015.0000000;1025.0000000;1000.0000000;1015.0000000;270
ZILL;D;02/02/18;000000;1060.0000000;1060.0000000;1015.0000000;1020.0000000;1521
ZILL;D;05/02/18;000000;1000.0000000;1025.0000000;1000.0000000;1020.0000000;52
ZILL;D;06/02/18;000000;1000.0000000;1010.0000000;1000.0000000;1005.0000000;438
ZILL;D;07/02/18;000000;1010.0000000;1050.0000000;1005.0000000;1045.0000000;235
ZILL;D;08/02/18;000000;1025.0000000;1025.0000000;1010.0000000;1020.0000000;120
ZILL;D;09/02/18;000000;1010.0000000;1010.0000000;985.0000000;1010.0000000;109
ZILL;D;12/02/18;000000;1010.0000000;1010.0000000;1000.0000000;1005.0000000;47
ZILL;D;13/02/18;000000;1010.0000000;1015.0000000;1010.0000000;1010.0000000;57
ZILL;D;14/02/18;000000;1010.0000000;1010.0000000;1005.0000000;1010.0000000;447
ZILL;D;15/02/18;000000;1020.0000000;1020.0000000;1005.0000000;1005.0000000;11
ZILL;D;16/02/18;000000;1000.0000000;1020.0000000;1000.0000000;1020.0000000;2
ZILL;D;19/02/18;000000;1005.0000000;1010.0000000;1005.0000000;1005.0000000;378
ZILL;D;20/02/18;000000;1020.0000000;1020.0000000;1020.0000000;1020.0000000;2
ZILL;D;21/02/18;000000;1030.0000000;1035.0000000;1025.0000000;1025.0000000;3
ZILL;D;22/02/18;000000;1030.0000000;1050.0000000;1030.0000000;1030.0000000;55
ZILL;D;26/02/18;000000;1035.0000000;1075.0000000;1035.0000000;1060.0000000;193
ZILL;D;27/02/18;000000;1070.0000000;1075.0000000;1055.0000000;1075.0000000;47
ZILL;D;28/02/18;000000;1150.0000000;1470.0000000;1100.0000000;1300.0000000;2838
ZILL;D;01/03/18;000000;1300.0000000;1300.0000000;1215.0000000;1250.0000000;584
ZILL;D;02/03/18;000000;1250.0000000;1390.0000000;1215.0000000;1375.0000000;538
ZILL;D;05/03/18;000000;1375.0000000;1405.0000000;1290.0000000;1395.0000000;187
ZILL;D;06/03/18;000000;1410.0000000;1470.0000000;1310.0000000;1350.0000000;330
ZILL;D;07/03/18;000000;1330.0000000;1355.0000000;1315.0000000;1355.0000000;102
ZILL;D;09/03/18;000000;1355.0000000;1355.0000000;1290.0000000;1340.0000000;619
ZILL;D;12/03/18;000000;1305.0000000;1340.0000000;1290.0000000;1300.0000000;414
ZILL;D;13/03/18;000000;1295.0000000;1300.0000000;1255.0000000;1300.0000000;54
ZILL;D;14/03/18;000000;1280.0000000;1280.0000000;1225.0000000;1225.0000000;550
ZILL;D;15/03/18;000000;1225.0000000;1250.0000000;1200.0000000;1200.0000000;710
ZILL;D;16/03/18;000000;1225.0000000;1245.0000000;1220.0000000;1235.0000000;202
ZILL;D;19/03/18;000000;1245.0000000;1245.0000000;1180.0000000;1190.0000000;607
ZILL;D;20/03/18;000000;1200.0000000;1200.0000000;1180.0000000;1190.0000000;100
ZILL;D;21/03/18;000000;1200.0000000;1230.0000000;1200.0000000;1200.0000000;42
ZILL;D;22/03/18;000000;1220.0000000;1260.0000000;1200.0000000;1220.0000000;372
ZILL;D;23/03/18;000000;1210.0000000;1210.0000000;1145.0000000;1155.0000000;1522
ZILL;D;26/03/18;000000;1150.0000000;1160.0000000;1140.0000000;1140.0000000;772
ZILL;D;27/03/18;000000;1140.0000000;1160.0000000;1100.0000000;1155.0000000;1195
ZILL;D;28/03/18;000000;1150.0000000;1150.0000000;1115.0000000;1115.0000000;302
ZILL;D;29/03/18;000000;1145.0000000;1150.0000000;1120.0000000;1120.0000000;712
ZILL;D;30/03/18;000000;1125.0000000;1125.0000000;1100.0000000;1100.0000000;713
ZILL;D;02/04/18;000000;1130.0000000;1140.0000000;1000.0000000;1045.0000000;1616
