Номер	Банк	Рег. Номер	Реутеры	Филиалы	Город	Количество рабочих	Сумма активов	Собственные активы	Банковские активы	Депозиты физ. лиц	Депозиты Юр. лиц	Привил. ресурсы	Ссуда, руб.	Ссуда, долл.	Средства в Банке	Межфилиальные средства	Бюджет	Прибыль	Карты	Гос. облигации	Средства ДУ
2	Внешторгбанк	1000	-	32	Москва	3297	101660298	23236327	84343558	2086142	34917304	18053156	6588171	14842031	30863714	5919300	0	245820	348793	749356	0
3	Газпромбанк	354	GZPM	27	Москва	2559	79012789	9255041	74409960	3948269	35712210	10154247	8470823	31267375	18833125	4313630	0	355197	455520	123111	8316761
4	"ООО ""Международный Промышленный банк"""	2056	TIBP	4	Москва	459	77888642	26409116	58647197	157065	1483061	25093336	34043343	8405719	6712070	19195367	23917	306196	3255	38504	1662557
5	Международный Московский Банк	1	IMBX	1	Москва	621	63910966	1176462	62436148	1291941	42831592	3600147	462037	7797623	38973392	830525	0	0	178071	2033200	720
6	"ОАО ""АЛЬФА-БАНК"""	1326	ALFM	17	Москва	2323	57510886	12446938	52348562	4052929	12574307	11527973	4987776	6077191	28996950	5104405	1594071	1218928	1012419	187085	0
7	"ОАО ""ПСБ"""	439	ICSP	44	Санкт-Петербург	3579	49406525	1275859	17091603	1531605	9259287	1972366	5187620	3416332	2626908	31903232	0	271635	153087	1696127	10509
8	Банк Москвы	2748	-	34	Москва	2810	31352124	3335734	30287158	2498692	22396178	1852906	8826718	4860894	3781859	945517	0	53771	221612	0	0
9	"АКБ ""РОСБАНК"" (ОАО)"	2272	-	13	Москва	989	28105202	4691449	25807591	2583476	12919324	2460042	6691829	5882163	8848426	1479585	607332	257710	134021	774727	0
10	"АКБ ""ДИБ"""	2783	DIBM	0	Москва	377	27350369	2616993	26986210	1231564	19056554	809453	1690131	2452380	3418864	0	0	363622	18394	3185295	0
11	"КБ ""Ситибанк Т/О"""	2557	-	1	Москва	210	26240408	2063168	23291673	327804	8196586	9121280	746234	11593214	281327	2658169	0	839596	65125	3377772	0
12	"ОАО МАКБ ""Возрождение"""	1439	VOZM	62	Москва	3439	25446423	1520076	9879932	968729	2960067	1558280	2648071	3621169	565976	14450105	1468108	5367	4156	45505	0
13	"ОАО РИКБ ""Башкредитбанк"""	2275	BKRE	4	Уфа	1838	23304860	2833897	21190313	713888	10140377	2302416	5231728	2821476	4294120	1862191	0	330620	101604	1339415	84397
14	"ЗАО Банк ""МЕНАТЕП СПб"""	3279	MTSP	48	Cанкт-Петербург	2145	19541965	2268343	9479194	1210206	10431709	1184134	4813030	1771503	2025822	4526067	0	128038	387156	1591995	0
15	БНП-Дрезднер Банк	2455	NDMO	1	Санкт-Петербург	185	17689833	84312	13082069	232842	2748601	6927423	386807	1359574	9186855	4295180	0	-140918	0	258490	0
16	АВТОБАНК	30	-	25	Москва	2732	17229288	1530584	15502811	1673414	3433908	5345104	3598498	3820077	2255050	1309333	7960	76747	615587	758506	0
17	"ОАО Банк ""Петрокоммерц"""	1776	PCBM	13	Москва	1006	16690301	727690	10372701	1092558	6381551	346536	676855	1189903	2593355	6173476	0	251850	9677	692002	0
18	"АКБ ""НРБанк"""	2170	NRB/B	0	Москва	320	15791359	5075844	15773889	228337	3523760	1652236	2019933	2694346	1714380	0	0	153763	0	1079449	0
19	"АКБ ""Еврофинанс"""	2402	EFIN,	1	Москва	298	15191022	2835944	13398039	1496066	3256433	3731900	853502	4134587	2157847	115279	0	290095	31065	460705	0
20	ООО Райффайзенбанк Австрия	3292	RZBM	0	Москва	212	14892329	593460	11685822	865363	1784343	2763643	60327	4909420	4164173	0	0	0	355025	545837	0
21	"КБ ""ГУТА-БАНК"""	1623	GUTA	33	Москва	1906	14799899	2008471	12398573	567578	5828846	3361601	4982696	2557208	2696602	2198299	0	70863	119791	68113	79221
22	ГЛОБЭКСБАНК	1942	GLBX	8	Москва	133	12769906	5016721	12576820	192899	532346	1841261	7593225	45080	1711287	188021	0	4756	1534	0	0
23	"ОАО ""Ханты-Мансийский банк """	1971	-	6	Ханты-Мансийск	473	12722589	323652	2987333	214723	125530	253363	574549	60600	705074	475546	55	30679	51722	64584	0
24	"ОАО ""Банк ""Петровский """	729	PETR	18	Санкт-Петербург	3395	12589085	439907	5943321	1188151	3285756	196842	2255752	785076	100843	6624531	0	12461	81654	710009	0
25	АБМ АМРО Банк АО	2594	AABM	1	Москва	175	10566709	1079184	10007563	297877	5586199	2868594	397930	3107274	4715039	500797	0	160417	71813	306608	54773
26	Банк ЗЕНИТ	3255	ZENT	3	Москва	456	10407230	1000661	8303786	623716	5714758	848035	845524	2492631	2587086	1963966	0	171525	40373	113906	6224948
27	НОМОС-БАНК	2209	NMOS	1	Москва	260	8916553	1416318	8799375	161874	2826416	549978	3275069	1126402	1798646	99319	0	16548	27282	396064	137
28	"АКБ ""Московский Индустриальный банк"""	912	MIND	36	Москва	2845	8467224	938868	6145063	455861	3223945	483953	2530080	401684	219797	2177110	7238	55390	23294	423639	0
29	"АКБ ""Ак-Барс"""	2590	AKBA	20	Казань	1667	8401583	2515240	7218500	425402	3764016	4010	2656003	159894	1228651	959021	185032	63534	5388	380732	0
30	ИМПЭКСБАНК (ООО)	2291	IMEX	41	Москва	1731	7963291	1015977	3631085	494875	1033863	712071	624841	306795	816171	4310655	0	21202	106837	37483	0
31	"АКБ ""ЧЕЛИНДБАНК"""	485	-	28	Челябинск	1392	7767092	463445	3934709	520529	2349629	15706	1051159	829160	304154	2836602	938279	63956	0	0	0
32	"ЗАО ""Конверсбанк"""	122	CONV	10	Москва	957	7618503	1716464	6341373	806911	2506103	1037608	1413818	2009000	932007	814204	6335	89416	18945	113704	0
33	"ОАО ""Банк ""Санкт-Петербург"""	436	BS PB	7	Санкт-Петербург	1503	6730121	255345	2866942	173000	1534649	577320	830402	158727	283465	3727918	84412	3057	1127	134843	0
34	Запсибкомбанк ОАО	918	WSCB	32	Салехард	1447	6538257	335942	4257359	636965	1139682	13000	1138276	52937	338994	2224973	0	45827	275929	1937	0
35	"КБ ""СахаДаймондБанк"""	3272	-	2	Москва	85	6338764	70658	2112569	13489	838147	0	150257	125753	90028	4152803	0	3441	0	5364	0
36	ТрансКредитБанк	2142	TRCM	0	Москва	269	6252523	721208	2733597	70252	1125143	44856	1407853	204574	1491818	0	0	262046	0	53031	0
37	"АКБ ""БИН"""		BINB	5	Москва	807	6160046	739890	5824773	480583	90468	56140	768903	1296626	876788	293219	0	81122	47575	0	0
38	"ОАО ""Меткомбанк"""	901	-	6	Череповец	675	4879981	329236	4248641	816749	2866829	61079	619512	325646	2012002	601299	0	48249	98776	11620	0
39	"ЗАО АБ ""Капитал"""	575	-	3	Нижневартовск	184	4568332	230101	3579674	245726	3232350	461	85299	9824	400875	963756	0	61528	39807	0	0
40	Балтийский Банк	128	BALT	9	Санкт-Петербург	1200	4134372	268751	3359926	844787	1274835	296011	1344162	586888	470731	722725	0	65889	264080	13957	54
41	"АКБ ""Югбанк"""	457	YUGB	18	Краснодар	1017	4120333	140846	2598064	231415	261123	5510	857030	32013	677731	1502410	51	26991	17824	64706	0
42	"АБ ""ИБО""НИКОЙЛ"""	409	NKOL	5	Москва	0	3838123	666703	2804599	357865	651363	652573	512038	540473	6362	996007	0	47143	15878	195219	0
43	"ЗАО ""Нижегородпромстройбанк"""	1851	NPSH	26	Нижний Новгород	1110	3735969	789338	2798278	396091	144312	57500	1724772	148513	145675	806313	133	164187	91586	22939	0
44	"КБ ""Красбанк"""	1569	KRAS	0	Москва	99	3603849	140609	217075	661	9000	194537	95425	0	440296	0	0	997	0	520	0
45	"АКБ ""Приупскбанк"""	1203	-	8	Тула	287	3541637	71693	181456	30337	3718	2000	85919	0	5642	1661913	0	1153	0	102	0
46	"АКБ ""Пробизнесбанк"""	2412	-	0	Москва	542	3481038	784577	2402092	157338	1483832	665720	901486	723738	1292998	0	1968	6308	11047	0	0
47	Вест ЛБ Восток	3224	WLBA	0	Москва	86	3417928	609375	3398459	6554	537992	1416179	0	1026136	0	0	0	119340	0	66064	0
48	"ЗАО ""Международный акционерный Банк"""	1987	MABM	1	Москва	143	3381733	357083	3365156	222925	2580068	90278	625655	633158	967892	3398	0	25178	0	463597	0
49	"КБ ""Русский генеральный банк"""	2814	RUGB	0	Москва	197	3351413	502505	3333821	20761	2400771	30518	637509	398206	753750	0	0	22459	0	339075	0
50	"АКБ ""МФК"""	2864	ISCM	0	Москва	146	3346237	1204941	3184388	54970	134765	456849	734712	445577	235949	0	0	32600	10036	96322	0
