Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Квартира	Площадь квартиры	Способ приобретения собств.	Расположение	Машина	Срок эксплуатации машины	Загородный дом	Земельный участок	Прописка в данном районе	Гараж	Класс предприятия	Время работы предприятия	Отрасль предприятия	Специализация	Должность	Срок работы на предприятии	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов	Количество иждевенцев	Гражданское состояние	Занятость супруга	Срок проживания в регионе	Давать кредит	Давать кредит(число)
7000	1400	6	01.01.03	Иное	1	37	Жен	специальное	Нет	Нет	37	другое	область	отечественная	1	Да	Нет	Нет	Да	среднее	39	Федеральное и муниципальное управление	Кадровая служба и секритариат	неруководящая	4	5	5000	1500	Покупка товаров длит. пользования	2	Нет	Нет	22	Да	1
7500	1500	6	01.01.03	Иное	1	38	Муж	среднее	Да	Да	29	другое	центр	импортная	2	Да	Нет	Нет	Нет	малое	30	Сельское хозяйство	Служба безопасности	руководящая	3	8	4500	1000	Затраты на образование (в т.ч. детей)	2	Нет	Нет	12	Да	1
14500	2900	12	01.01.03	Покупка товара	1	60	Муж	высшее	Да	Да	34	другое	область	Нет автомобиля	4	Нет	Да	Да	Нет	крупное	8	Реклама, PR-Агенства, СМИ	Участие в основной деятельности	неруководящая	4	11	5000	1500	Одежда, продукты питания и т.п.	3	Да	Нет	30	Нет	0
15000	3000	6	01.01.03	Покупка товара	1	28	Муж	специальное	Нет	Да	14	другое	центр	отечественная	3	Нет	Нет	Да	Нет	крупное	8	Правоохранительные органы	Служба безопасности	неруководящая	4	5	6000	1500	Содержание/аренда недвижимости, а/т	1	Да	Да	21	Да	1
32000	6400	12	01.01.03	Иное	1	59	Жен	специальное	Да	Нет	53	другое	центр	отечественная	7	Да	Да	Нет	Да	малое	3	Образование (комерч.)	Участие в основной деятельности	руководящая	2	3	7500	2000	Затраты на образование (в т.ч. детей)	3	Да	Да	29	Да	1
11500	2300	6	01.01.03	Турпоездки, развлечения и т.п.	1	25	Жен	специальное	Нет	Нет	28	покупка	центр	отечественная	2	Да	Да	Да	Нет	крупное	10	Машиностроение и металлообработка	Адм.-хоз. и транспортная службы	неруководящая	4	5	5000	1500	Покупка и ремонт недвижимости	1	Нет	Нет	9	Да	1
5000	1000	6	01.01.03	Покупка и ремонт недвижимости	1	57	Муж	специальное	Да	Да	18	нет жилья в собственности	центр	отечественная	4	Нет	Нет	Да	Да	малое	3	Торговля розничная	Пр.-техн. обесп. и телекомуникации	неруководящая	4	3	4000	500	Помощь родственникам	2	Да	Да	34	Да	1
61500	12300	30	01.01.03	Покупка товара	1	29	Муж	высшее	Да	Да	26	другое	центр	Нет автомобиля	3	Нет	Да	Да	Да	крупное	12	Финансы, банковское дело	Юридическая служба	неруководящая	4	3	5500	1500	Покупка товаров длит. пользования	0	Да	Да	18	Нет	0
13500	2700	12	01.01.03	Оплата услуг (мед., юрид. и т.п.)	1	37	Муж	специальное	Нет	Да	46	покупка	центр	отечественная	6	Да	Нет	Да	Нет	крупное	8	Транспорт и связь	Адм.-хоз. и транспортная службы	руководящая	3	9	4500	1000	Помощь родственникам	2	Да	Да	28	Нет	0
25000	5000	18	01.01.03	Покупка товара	1	36	Муж	специальное	Да	Нет	20	другое	центр	Нет автомобиля	5	Нет	Да	Да	Нет	малое	15	Коммунальное хо-во / Сфера услуг	Участие в основной деятельности	руководящая	3	7	4500	1500	Покупка и ремонт недвижимости	2	Нет	Нет	21	Нет	0
25500	5100	24	01.01.03	Покупка товара	1	68	Муж	высшее	Да	Да	45	покупка	центр	отечественная	5	Нет	Нет	Да	Да	крупное	3	Федеральное и муниципальное управление	Реклама и маркетинг	неруководящая	4	6	4500	1000	Оплата услуг (мед., юрид. и т.п.)	2	Нет	Нет	30	Нет	0
9500	1900	6	01.01.03	Покупка товара	1	20	Жен	высшее	Да	Нет	22	другое	центр	импортная	7	Нет	Нет	Да	Да	среднее	2	Сельское хозяйство	Реклама и маркетинг	неруководящая	3	8	5000	1000	Содержание/аренда недвижимости, а/т	1	Нет	Нет	14	Да	1
53000	10600	24	01.01.03	Иное	1	30	Жен	специальное	Да	Да	26	другое	область	отечественная	6	Нет	Да	Да	Нет	крупное	12	Машиностроение и металлообработка	Реклама и маркетинг	неруководящая	5	2	5500	1000	Содержание/аренда недвижимости, а/т	0	Нет	Нет	21	Нет	0
27500	5500	18	02.01.03	Покупка товара	1	22	Жен	высшее	Да	Нет	42	покупка	центр	отечественная	14	Да	Нет	Да	Нет	крупное	45	Реклама, PR-Агенства, СМИ	Снабжение и сбыт	неруководящая	5	8	5000	1000	Покупка товаров длит. пользования	1	Нет	Нет	12	Да	1
4000	800	6	02.01.03	Оплата услуг (мед., юрид. и т.п.)	1	33	Муж	специальное	Нет	Да	33	другое	область	отечественная	3	Нет	Нет	Да	Да	крупное	2	Ощественное питание	Адм.-хоз. и транспортная службы	неруководящая	3	3	4000	1000	Затраты на образование (в т.ч. детей)	2	Да	Нет	26	Нет	0
40500	8100	24	02.01.03	Покупка и ремонт недвижимости	1	34	Жен	специальное	Да	Да	27	нет жилья в собственности	область	отечественная	7	Да	Нет	Да	Нет	малое	8	Ощественное питание	Бухгалтерия, финансы и планирование	неруководящая	3	9	5000	1500	Турпоездки, развлечения и т.п.	2	Нет	Нет	14	Нет	0
51500	10300	36	02.01.03	Покупка и ремонт недвижимости	1	25	Муж	высшее	Нет	Да	39	другое	центр	Нет автомобиля	4	Нет	Нет	Нет	Да	малое	5	Информатика и телекоммуникации	Участие в основной деятельности	неруководящая	4	3	5000	1500	Одежда, продукты питания и т.п.	0	Нет	Нет	7	Нет	0
7000	1400	6	02.01.03	Оплата услуг (мед., юрид. и т.п.)	1	40	Муж	специальное	Нет	Нет	41	другое	центр	отечественная	7	Нет	Нет	Да	Нет	среднее	11	Легкая и пищевая промышленность	Участие в основной деятельности	руководящая	4	9	5000	1500	Затраты на образование (в т.ч. детей)	1	Да	Да	23	Да	1
8500	1700	6	02.01.03	Турпоездки, развлечения и т.п.	1	27	Муж	специальное	Нет	Да	39	другое	центр	отечественная	10	Нет	Нет	Нет	Да	малое	9	Информатика и телекоммуникации	Участие в основной деятельности	неруководящая	3	2	4500	1000	Одежда, продукты питания и т.п.	1	Нет	Нет	20	Да	1
