"client_id";"DIR";"Age";"NumLoans";"NumRealEstateLoans";"NumDependents";"Num30.59Delinquencies";"Num60.89Delinquencies";"Income";"BalanceToCreditLimit";"Delinquent90"
33;0,229227;34,2;5;0;3;0;0;4365,787145;0,614501;0
34;1,088303;31,3;10;2;1;0;0;3042,93144;0,33446;1
48;0;40,3;12;0;0;0;0;5236,071398;4,8e-05;0
51;0,085763;62,4;5;0;0;0;0;7715,104911;0,367092;0
53;0,340004;31,1;14;1;0;0;0;10987,84611;0,394608;0
66;0,005672;30,2;0;0;1;0;1;7840,757088;1,004759;1
72;0,549966;34,3;11;1;0;0;0;13789,55541;0,953883;0
77;0,764853;57,1;11;1;0;0;0;4404,667028;0,302795;0
84;0,008538;62,1;5;0;0;0;0;4019,126987;0,01058;0
92;0,325323;36,1;8;2;0;1;0;5459,433033;0,05829;0
109;0,348094;61,1;6;1;0;0;0;12589,65572;0,07586;0
114;0,079921;38,2;8;0;1;0;0;5001,053715;0,042747;0
115;0,478927;38,2;12;1;2;0;0;5457,346225;0,16869;0
123;0,383931;32,3;31;1;0;0;0;8392,163036;0,451023;0
126;0,180932;32;3;0;0;1;0;2447,550136;1,000574;1
136;0,226781;48,4;10;0;2;0;0;3503,014902;0,023686;0
139;0,241967;35;9;1;0;0;0;6548,772543;0,003779;0
140;0,635851;57,2;22;1;1;0;1;6259,077365;0,39451;0
150;0,470408;63,5;8;2;0;0;0;5098,961513;0,203793;0
151;0,070344;34,1;6;0;0;0;0;1675,766972;0,147016;0
152;0,100587;29;4;0;0;0;0;4236,260829;0,188004;0
169;0,528714;59,1;13;2;1;0;0;4718,972071;0,850962;0
178;0,006881;62;1;0;0;0;0;1903,020854;0,018363;0
183;0,73932;50;15;2;0;0;0;3208,525571;0,318484;0
202;0,22258;60,4;13;2;0;0;0;13441,5745;0,022214;0
215;0,35597;50,4;8;2;1;0;0;4623,744148;0,112955;0
226;0,217135;48,2;4;1;0;0;0;9076,467013;0,093199;0
228;0,455144;43,1;9;3;4;1;0;20187,71184;0,011971;0
229;1,011215;71,6;8;1;0;0;0;1716,513863;0,277821;0
234;0,02152;49,1;11;1;1;0;0;75583,72988;0,041648;0
241;0,784596;36,2;7;2;0;0;0;4347,60221;0,296109;0
244;1,488549;54,5;9;2;0;0;0;3821,698005;0,886294;0
254;0,003365;61,1;3;0;0;0;0;4196,927426;0,022313;0
269;0,372196;30,1;16;1;0;1;0;5376,187088;0,362958;0
280;0,237671;44,2;8;2;0;1;0;8256,665436;0,045884;0
303;0,189814;36,2;10;2;1;0;0;17641,04888;0,178086;0
304;0,372281;54,3;9;2;1;0;0;9475,163316;0,193189;0
322;0,389016;66,6;5;1;0;0;0;3336,017389;0,586865;0
329;0,094849;62,1;10;1;0;0;0;14621,61542;0,017948;0
336;0,215158;43;10;2;4;0;0;16956,05766;0,006884;0
369;0,185001;42,1;7;1;1;0;1;10065,77389;0,015037;0
371;1,199276;47;11;1;1;0;0;3513,538783;0,232154;0
378;0,000335;43,3;4;0;3;0;0;9004,617618;0;0
381;0,496668;64,4;16;1;0;0;0;6886,317734;0,159342;0
387;0,781419;58,4;16;1;1;0;0;3177,767965;0,03868;0
398;0,910479;54,1;11;2;0;0;0;6048,943136;0,57648;0
413;0,129184;80,6;6;1;0;0;0;3896,862251;0,076174;0
431;0,251109;59,2;20;1;0;0;0;5091,667748;0,003799;0
445;0,289082;45,3;6;0;2;0;0;6121,839106;0,035646;0
449;0,005315;76,8;3;0;0;0;0;4168,396889;0,016022;0
463;0,284363;48,1;12;0;0;0;0;4029,958542;0,426858;0
464;0,010428;46,2;8;0;0;0;0;4734,150005;0,011561;0
479;0,244697;56,5;8;1;0;0;0;3426,752094;0,708491;0
484;0,418822;55,2;16;1;1;3;0;3348,013561;0,004418;0
496;0,001374;61,1;4;0;1;0;0;5105,566758;0,321968;0
499;0,423288;49,2;10;2;1;0;0;4409,845073;0,107674;0
521;0,166502;59,5;8;0;0;0;0;6896,749302;0,247278;0
537;0;70,4;6;1;1;2;3;6016,893264;0,288177;1
542;0,008943;45,2;8;0;0;0;0;1912,934662;0,009384;0
