Номер кредитного договора	Филиала	Сумма кредита	Дата выдачи	Дата возврата	Льготы	Срок кредита (в мес)	Процентая ставка	Аннуитентный платеж	Плата по %%
1	Аэропорт	97000	02.мар.12	02.дек.13	0	21	12,0%	5143,98	11023,64
2	Аэропорт	118000	02.мар.12	02.июл.15	1	40	18,0%	3944,40	39775,92
3	Аэропорт	306000	02.мар.12	02.фев.16	0	47	20,0%	9441,64	137757,21
4	Семеновский	211000	02.мар.12	02.июл.16	1	52	13,0%	5328,72	66093,67
5	Аэропорт	122000	02.мар.12	02.июл.13	0	16	12,0%	8289,24	10627,85
6	Аэропорт	399000	02.мар.12	02.апр.16	1	49	13,0%	10537,44	117334,54
7	Аэропорт	463000	02.мар.12	02.мар.14	1	24	9,0%	21152,04	44648,86
8	Аэропорт	60000	02.мар.12	02.дек.12	0	9	10,0%	6947,52	2527,66
9	Аэропорт	153000	02.мар.12	02.апр.14	0	25	17,0%	7310,39	29759,76
10	Киевский	429000	02.мар.12	02.сен.12	1	6	7,0%	72966,87	8801,20
11	Киевский	287000	02.мар.12	02.июл.12	1	4	7,0%	72799,40	4197,59
12	Аэропорт	494000	02.мар.12	02.май.16	0	50	15,0%	13346,71	173335,34
13	Аэропорт	417000	03.мар.12	03.авг.14	0	29	17,0%	17634,95	94413,57
14	Аэропорт	441000	03.мар.12	03.дек.14	0	33	17,0%	16822,64	114147,26
15	Аэропорт	398000	03.мар.12	03.авг.15	0	41	20,0%	13476,44	154533,91
16	Киевский	58000	03.мар.12	03.апр.12	1	1	7,0%	58338,33	338,33
17	Аэропорт	242000	03.мар.12	03.дек.12	0	9	10,0%	28021,66	10194,90
18	Аэропорт	321000	03.мар.12	03.май.14	0	26	17,0%	14845,45	64981,60
19	Аэропорт	494000	03.мар.12	03.фев.14	0	23	12,0%	24149,60	61440,91
20	Семеновский	284000	03.мар.12	03.окт.16	0	55	15,0%	7171,41	110427,64
21	Аэропорт	174000	03.мар.12	03.окт.14	0	31	17,0%	6974,36	42205,30
22	Аэропорт	414000	03.мар.12	03.янв.15	0	34	17,0%	15427,89	110548,42
23	Семеновский	439000	03.мар.12	03.окт.16	0	55	15,0%	11085,39	170696,25
24	Арбатский	417000	03.мар.12	03.янв.17	0	58	15,0%	10151,04	171760,47
25	Аэропорт	160000	04.мар.12	04.апр.13	0	13	12,0%	13186,37	11422,82
26	Аэропорт	460000	04.мар.12	04.фев.13	1	11	7,0%	43296,01	16256,06
27	Киевский	133000	04.мар.12	04.май.12	0	2	10,0%	67332,40	1664,80
28	Семеновский	152000	04.мар.12	04.авг.16	0	53	15,0%	3939,31	56783,54
29	Арбатский	240000	04.мар.12	04.дек.16	0	57	15,0%	5912,35	97003,76
30	Аэропорт	132000	04.мар.12	04.окт.14	1	31	14,0%	5098,90	26065,94
31	Аэропорт	372000	04.мар.12	04.июн.13	0	15	12,0%	26830,05	30450,69
32	Киевский	494000	04.мар.12	04.май.12	0	2	10,0%	250091,77	6183,54
33	Семеновский	422000	04.мар.12	04.окт.16	0	55	15,0%	10656,11	164086,15
34	Аэропорт	236000	05.мар.12	05.дек.12	0	9	10,0%	27326,90	9942,13
35	Аэропорт	403000	05.мар.12	05.июн.16	0	51	15,0%	10734,19	144443,78
36	Семеновский	70000	05.мар.12	05.авг.16	0	53	15,0%	1814,16	26150,32
37	Семеновский	349000	05.мар.12	05.авг.16	0	53	15,0%	9044,87	130378,00
38	Киевский	185000	05.мар.12	05.окт.12	0	7	10,0%	27316,83	6217,84
39	Аэропорт	335000	05.мар.12	05.май.16	0	50	15,0%	9050,90	117545,22
40	Киевский	94000	06.мар.12	06.сен.12	0	6	10,0%	16126,77	2760,63
41	Аэропорт	220000	06.мар.12	06.сен.14	0	30	17,0%	9052,77	51583,18
42	Аэропорт	62000	06.мар.12	06.дек.12	0	9	10,0%	7179,10	2611,92
43	Аэропорт	317000	06.мар.12	06.июн.14	0	27	17,0%	14210,93	66695,01
44	Киевский	133000	06.мар.12	06.авг.12	0	5	10,0%	27268,68	3343,40
45	Аэропорт	156000	06.мар.12	06.дек.12	1	9	7,0%	17842,81	4585,28
46	Аэропорт	129000	06.мар.12	06.авг.13	0	17	12,0%	8289,29	11917,91
47	Киевский	367000	06.мар.12	06.окт.12	0	7	10,0%	54190,69	12334,85
48	Аэропорт	444000	06.мар.12	06.авг.13	0	17	12,0%	28530,58	41019,80
49	Аэропорт	51000	06.мар.12	06.ноя.14	1	32	14,0%	1918,89	10404,50
