X	Y
0	77.8
7	77.1
14	78.9
21	79.1
28	82.7
35	84.1
42	84.3
49	88
56	86.7
63	86.4
70	84.6
77	84.6
84	84.8
91	83.7
98	83.6
105	83.5
112	83.2
119	82.8
126	82.7
133	83.4
140	82.7
147	83.2
154	85.4
161	85.6
168	86.2
175	87.4
182	87.9
189	88.3
196	89.2
203	89.2
210	88.9
217	88.7
224	89
231	89.6
238	88.3
245	88.8
252	89.1
259	90
266	92.6
273	94.3
280	95.3
287	98.3
294	100.1
301	105.2
308	107.3
315	112.8
322	113.1
329	113.9
336	117.1
343	121.6
350	120.3
357	119.8
364	120.7
371	124.5
378	124.6
