 №;Объем денежных накоплений в РФ миллиард руб. (y);Сводные данные о продаже наличной иностранной валюты кредитными организациями физическим лицам (x1);Курс рубля к доллару США (x2);"Цена нефти марки ""Юралс"" (x3)";Динамика потребительских цен по группам товаров и услуг (месяц к соответствующему месяцу предыдущего года,%)  (x4)
1;12345.00;2769;29.67;94.2;9.6
2;12091.90;3065;28.94;101.1;9.5
3;12339.70;3899;28.43;111.6;9.5
4;12450.60;3790;27.5;119.7;9.6
5;12832.10;3963;28.07;112;9.6
6;12892.10;4224;28.08;112;9.4
7;13224.50;4645;27.68;115.3;9
8;13449.90;4914;28.86;109.6;8.2
9;13476.80;4830;31.88;112.6;7.2
10;13588.90;4815;29.9;108.7;7.2
11;13600.40;4401;31.32;110.9;6.8
12;13768.50;5189;32.2;108;6.1
13;14796.60;3434;30.36;109.8;4.2
14;14424.20;5195;28.95;119.2;3.7
15;14607.30;5401;29.33;123.3;3.7
16;14688.00;4239;29.36;117.8;3.6
17;15057.30;4558;32.45;109.2;3.6
18;15161.00;4675;32.82;93.5;4.3
19;15534.60;6558;32.19;102.7;5.6
20;15544.50;6253;32.92;113.5;5.9
21;15644.40;5410;30.92;112;6.6
22;15717.80;5023;31.53;110.8;6.5
