IP;t;d1;d2;d3;Квартал
137.73;1;1;0;0;1
140.21;2;0;1;0;2
145.53;3;0;0;1;3
154.41;4;0;0;0;4
146.07;5;1;0;0;1
146.37;6;0;1;0;2
148.42;7;0;0;1;3
149.4;8;0;0;0;4
123.41;9;1;0;0;1
126.5;10;0;1;0;2
134.09;11;0;0;1;3
143.07;12;0;0;0;4
133.2;13;1;0;0;1
135.73;14;0;1;0;2
139.67;15;0;0;1;3
153.49;16;0;0;0;4
139.83;17;1;0;0;1
143.89;18;0;1;0;2
147.05;19;0;0;1;3
159.11;20;0;0;0;4
145.91;21;1;0;0;1
147.07;22;0;1;0;2
151.93;23;0;0;1;3
164.08;24;0;0;0;4
144.06;25;1;0;0;1
148.1;26;0;1;0;2
152.69;27;0;0;1;3
166.12;28;0;0;0;4
145.52;29;1;0;0;1
150.76;30;0;1;0;2
154.83;31;0;0;1;3
169.7;32;0;0;0;4
144.92;33;1;0;0;1
143.33;34;0;1;0;2
148.34;35;0;0;1;3
163.18;36;0;0;0;4
143.92;37;1;0;0;1
144.79;38;0;1;0;2
148.12;39;0;0;1;3
166.19;40;0;0;0;4
