GDP	t	d1	d2	d3
14430,901	1	1	0	0
14381,236	2	0	1	0
14448,882	3	0	0	1
14651,248	4	0	0	0
14764,611	5	1	0	0
14980,193	6	0	1	0
15141,605	7	0	0	1
15309,471	8	0	0	0
15351,444	9	1	0	0
15557,535	10	0	1	0
15647,681	11	0	0	1
15842,267	12	0	0	0
16068,824	13	1	0	0
16207,13	14	0	1	0
16319,54	15	0	0	1
16420,386	16	0	0	0
16629,05	17	1	0	0
16699,551	18	0	1	0
16911,068	19	0	0	1
17133,114	20	0	0	0
17144,281	21	1	0	0
17462,703	22	0	1	0
17743,227	23	0	0	1
17852,54	24	0	0	0
17991,348	25	1	0	0
18193,707	26	0	1	0
18306,96	27	0	0	1
18332,079	28	0	0	0
18425,306	29	1	0	0
18611,617	30	0	1	0
18775,459	31	0	0	1
18968,041	32	0	0	0
19153,912	33	1	0	0
19322,92	34	0	1	0
19558,693	35	0	0	1
19882,965	36	0	0	0
20143,716	37	1	0	0
20492,492	38	0	1	0
20659,102	39	0	0	1
20813,325	40	0	0	0
