y;x1;x2;x3;x4
12 345,00;2769;29,67;94,2;9,6
12 091,90;3065;28,94;101,1;9,5
12 339,70;3899;28,43;111,6;9,5
12 450,60;3790;27,5;119,7;9,6
12 832,10;3963;28,07;112;9,6
12 892,10;4224;28,08;112;9,4
13 224,50;4645;27,68;115,3;9
13 449,90;4914;28,86;109,6;8,2
13 476,80;4830;31,88;112,6;7,2
13 588,90;4815;29,9;108,7;7,2
13 600,40;4401;31,32;110,9;6,8
13 768,50;5189;32,2;108;6,1
14 796,60;3434;30,36;109,8;4,2
14 424,20;5195;28,95;119,2;3,7
14 607,30;5401;29,33;123,3;3,7
14 688,00;4239;29,36;117,8;3,6
15 057,30;4558;32,45;109,2;3,6
15 161,00;4675;32,82;93,5;4,3
15 534,60;6558;32,19;102,7;5,6
15 544,50;6253;32,92;113,5;5,9
15 644,40;5410;30,92;112;6,6
15 717,80;5023;31,53;110,8;6,5
