id,minutes,n_ingredients
127244,60,16
23891,25,7
94746,10,6
67660,5,6
157911,60,14
152828,40,7
33941,18,9
446597,15,5
366174,7,9
74205,20,7
504666,65,20
81006,12,7
280968,85,11
204134,5,3
18593,35,7
25623,6,4
65559,24,14
99836,180,7
87775,80,13
425704,40,12
101799,10,8
106325,70,11
99283,315,6
179504,150,11
276123,60,7
498382,85,18
197140,40,6
484223,18,4
385472,90,9
63150,250,4
378114,20,11
318295,130,7
259784,90,9
308301,120,11
422795,30,7
104773,150,11
114103,555,11
496430,40,10
160325,45,7
328135,15,6
69317,10,8
70453,25,4
52233,25,8
63368,55,8
66842,2,4
337928,55,4
95046,15,6
140245,5,5
299022,25,6
292204,20,8
141000,35,16
39771,16,9
104103,15,8
402696,20,6
17980,40,8
75313,603,5
256227,495,10
98524,40,3
44512,50,20
377936,65,5
87295,20,3
94928,5,5
210528,70,3
122690,495,7
305350,20,14
192462,70,11
292055,30,6
85055,145,10
289281,13,6
390805,90,9
61760,20,8
117261,20,8
229757,20,6
80468,75,9
219096,80,13
198272,25,7
317583,65,4
43395,195,13
360691,13,4
229471,30,5
297759,65,5
524989,45,15
421800,130,6
337996,4320,12
301392,90,6
195867,25,13
122909,70,8
274705,50,6
36681,55,11
330982,10,6
196007,200,17
42314,60,5
356706,70,10
117619,22,6
117427,200,9
216424,20,6
143195,1530,10
452821,30,16
341622,10,5
319943,8,11
261088,80,16
66257,125,8
404093,11,8
208241,25,10
491998,40,13
43341,40,5
368762,60,7
299620,10,7
42704,75,8
238846,15,8
111500,15,4
202633,45,10
309419,75,8
187322,5,7
14253,10,9
205356,28,9
32736,45,9
380421,30,7
490918,35,17
271217,10,4
178242,80,17
178540,70,6
316184,15,5
408293,35,4
76604,30,8
56776,70,3
180800,5,3
11555,1450,7
36507,21,6
464917,30,12
313308,50,12
220007,30,9
38481,30,15
419813,35,6
163575,10,6
222004,40,11
68109,50,18
403029,60,7
65734,30,8
482123,45,11
523799,5,4
2712,45,7
44257,130,18
111565,70,7
36242,180,11
260329,15,11
285629,60,15
250473,30,8
339547,15,9
73644,30,7
145249,80,5
50737,27,3
110141,30,16
78262,35,12
350442,30,12
487738,85,18
168133,65,9
208139,30,10
445183,5,2
101461,105,10
39137,492,11
386762,150,17
124111,40,12
167482,30,9
227509,185,9
202670,50,9
434181,41,10
12520,25,9
279412,120,7
23187,10,7
334985,40,6
318992,30,9
400445,60,13
257289,50,10
258742,35,15
385241,25,14
315114,35,17
405726,15,5
373728,30,12
200562,10,3
279648,120,16
29598,35,10
164257,80,10
336006,55,7
290595,50,6
411512,40,11
188935,20,7
328136,5,5
310099,50,11
331400,35,6
8012,75,10
134363,25,6
389278,10,5
280680,5,4
125726,25,10
64671,840,7
11413,85,11
126219,40,8
26016,30,12
383843,210,13
361099,15,6
463861,50,11
26686,30,8
52157,50,10
318735,26,12
369159,35,9
103366,120,18
222074,60,13
238697,45,9
391680,500,13
104760,30,5
126465,25,11
139343,75,12
429506,100,9
299228,60,17
407342,40,10
135516,70,12
29005,425,4
430518,30,9
470973,180,20
34395,5,7
41654,55,9
290823,20,9
152928,15,7
11567,40,10
42699,20,10
20567,25,10
195618,20,5
279649,362,6
242108,40,4
42926,30,6
158480,75,12
272649,20,10
105520,18,7
137622,40,7
454119,10,4
169422,45,7
296122,50,13
408712,15,13
211928,55,17
51830,225,6
212608,22,9
15229,135,9
216527,45,10
423393,80,5
503314,20,7
162758,60,4
155837,45,9
270542,5,4
460833,80,16
116294,30,15
176951,45,12
212025,750,5
446188,25,5
18310,10,9
118207,490,5
101637,15,6
308905,5,7
74758,65,7
202615,155,8
258854,10320,13
110347,2,5
29533,40,13
11644,45,8
181035,80,18
164879,85,11
148817,195,13
423178,20,9
252362,55,8
461048,5,12
520603,33,9
350655,105,9
223668,4,3
255452,15,6
126410,2,4
231605,35,12
62545,57,15
277814,150,10
104880,65,7
298235,45,12
484102,20,8
81957,30,13
363343,30,15
311859,30,8
81318,55,12
147671,145,8
78674,38,12
53640,35,12
293755,5,7
423484,25,12
343565,90,20
304790,45,13
35083,105,9
432319,40,10
297272,10,4
285373,2,5
105252,55,10
420551,40,9
366949,80,11
447728,40,14
395963,20,10
110332,75,5
36495,210,15
91965,27,10
111343,10,11
143679,12,6
366715,45,12
196250,38,8
176228,615,4
171252,35,7
183262,1500,10
149747,120,10
252200,205,6
362820,15,5
166775,20,12
