Arrow Source            	Arrow Name              	Arrow Dest.             	Arrow Dest. Type        	
________________________	________________________	________________________	________________________	

Оформление въезда       	Выбранные тарифы        	Прием  предоплаты       	Input                   	

Документы клиента       	Данные о клиенте        	Оформление въезда       	Input                   	

Оформление въезда       	Данные о новых клиентах 	Обновление данных       	Input                   	

Данные о номерах        	Данные о номерах        	Обработка заказа        	Input                   	
гостиницы               	                        	                        	                        	

Данные о номерах        	                        	Обработка запроса       	Input                   	
гостиницы               	                        	                        	                        	

Клиенты                 	Заказ                   	Обработка заказа        	Input                   	

Клиенты                 	Запрос номера           	Обработка запроса       	Input                   	

{ Border }              	Клиенты                 	Прием  предоплаты       	Input                   	

                        	                        	Администрирование ключей	Input                   	

                        	                        	Оформление выезда       	Input                   	

                        	                        	Подготовка номеров      	Input                   	

                        	                        	Плановое обслуживание   	Input                   	
                        	                        	номеров                 	                        	

                        	                        	Оповещение о пропущенных	Input                   	
                        	                        	звонках                 	                        	

                        	                        	Соединение с номером    	Input                   	

                        	                        	Оплата телефонных       	Input                   	
                        	                        	переговоров             	                        	

                        	                        	Клиенты                 	External                	

                        	                        	Клиенты                 	External                	

Оформление въезда       	Ключи от номеров        	Администрирование ключей	Input                   	

{ Border }              	Материальная база       	Оформление выезда       	Mechanism               	

                        	                        	Подготовка номеров      	Mechanism               	

                        	                        	Плановое обслуживание   	Mechanism               	
                        	                        	номеров                 	                        	

                        	                        	Соединение с номером    	Mechanism               	

                        	                        	Материальная База       	External                	

                        	Неоплаченные счета      	Прием  предоплаты       	Input                   	

Обновление данных о     	Обновление данных о     	Данные о номерах        	Data Store              	
номерах                 	номерах                 	гостиницы               	                        	

Обновление данных       	                        	Данные о номерах        	Data Store              	
                        	                        	гостиницы               	                        	

Администрирование ключей	Оказание услуги         	{ Border }              	Output                  	

Подготовка номеров      	                        	                        	                        	

Плановое обслуживание   	                        	                        	                        	
номеров                 	                        	                        	                        	

Оповещение о пропущенных	                        	                        	                        	
звонках                 	                        	                        	                        	

Соединение с номером    	                        	                        	                        	

Обработка заказа        	                        	                        	                        	

Обработка заказа        	Отказ                   	{ Tunnel }              	Output                  	

Обработка заказа        	Оформление заказа       	Обновление данных о     	Input                   	
                        	                        	номерах                 	                        	

Соединение с номером    	Переговоры              	Ведение телефонных      	Input                   	
                        	                        	переговоров             	                        	

Персонал                	Перечень обязанностей   	Обработка запроса       	Input                   	

                        	                        	Оформление въезда       	Input                   	

                        	                        	Обновление данных       	Input                   	

Персонал                	Перечень обязаностей    	Обработка заказа        	Input                   	

                        	                        	Обновление данных о     	Input                   	
                        	                        	номерах                 	                        	

{ Border }              	Персонал                	Администрирование ключей	Mechanism               	

                        	                        	Оформление выезда       	Mechanism               	

                        	                        	Подготовка номеров      	Mechanism               	

                        	                        	Плановое обслуживание   	Mechanism               	
                        	                        	номеров                 	                        	

                        	                        	Оповещение о пропущенных	Mechanism               	
                        	                        	звонках                 	                        	

                        	                        	Соединение с номером    	Mechanism               	

                        	                        	Ведение телефонных      	Mechanism               	
                        	                        	переговоров             	                        	

