Name                    	Input Name              	Control Name            	Output Name             	Mechanism Name          	
________________________	________________________	________________________	________________________	________________________	

Функционирование        	Клиенты                 	Правила гостиницы       	Оказание услуги         	Материальная база       	
гостиницы               	                        	                        	                        	                        	

                        	Плата за услуги         	                        	Прибыль                 	Помещение               	

                        	                        	                        	                        	Персонал                	

Предоставление номеров  	Клиенты                 	Правила гостиницы       	Оказание услуги         	Материальная база       	

                        	Плата за услуги         	                        	Прибыль                 	Помещение               	

                        	                        	                        	                        	Персонал                	

Резервирование номеров  	Клиенты                 	Правила гостиницы       	Резерв номера           	Персонал                	

                        	                        	                        	Оказание услуги         	                        	

Обработка заказа        	Заказ                   	                        	Отказ                   	                        	

                        	Перечень обязаностей    	                        	Оказание услуги         	                        	

                        	Правила предоставления  	                        	Оформление заказа       	                        	
                        	номеров                 	                        	                        	                        	

                        	Данные о номерах        	                        	                        	                        	

Обновление данных о     	Оформление заказа       	                        	Резерв номера           	                        	
номерах                 	                        	                        	                        	                        	

                        	Перечень обязаностей    	                        	Обновление данных о     	                        	
                        	                        	                        	номерах                 	                        	

Оформление поселения    	Клиенты                 	Правила гостиницы       	Выбранные тарифы        	Материальная база       	

                        	Резерв номера           	                        	Ключи от номеров        	Персонал                	

                        	                        	                        	                        	Помещение               	

Обработка запроса       	Запрос номера           	                        	Удаленный запрос        	                        	

                        	Резерв номера           	                        	                        	                        	

                        	Untitled Input 16       	                        	                        	                        	

                        	Перечень обязанностей   	                        	                        	                        	

                        	Данные о номерах        	                        	                        	                        	

Оформление въезда       	Удаленный запрос        	                        	Выбранные тарифы        	                        	

                        	Untitled Input 16       	                        	Ключи от номеров        	                        	

                        	Перечень обязанностей   	                        	Данные о новых клиентах 	                        	

                        	Правила поселения       	                        	                        	                        	

                        	Untitled Input 17       	                        	                        	                        	

                        	Данные о клиенте        	                        	                        	                        	

Обновление данных       	Данные о новых клиентах 	                        	Обновление данных о     	                        	
                        	                        	                        	номерах                 	                        	

                        	Перечень обязанностей   	                        	                        	                        	

Прием  предоплаты       	Клиенты                 	Правила гостиницы       	Прибыль                 	                        	

                        	Выбранные тарифы        	                        	                        	                        	

                        	Неоплаченные счета      	                        	                        	                        	

                        	Плата за услуги         	                        	                        	                        	

Администрирование ключей	Ключи от номеров        	Правила гостиницы       	Оказание услуги         	Персонал                	

                        	Клиенты                 	                        	                        	                        	

Оформление выезда       	Клиенты                 	Правила гостиницы       	Счет                    	Персонал                	

                        	                        	                        	                        	Помещение               	

                        	                        	                        	                        	Материальная база       	

Проверка счетов         	Счет                    	Правила гостиницы       	Неоплаченные счета      	Персонал                	

Запрос счета            	                        	                        	Untitled Output 1       	                        	

Анализ срока пребывания 	Untitled Input 2        	                        	Результат анализа       	                        	

Формирование счета за   	Untitled Input 4        	                        	Счет за телефонные      	                        	
телефонные переговоры   	                        	                        	переговоры              	                        	

Формирование счета за   	Untitled Input 3        	                        	Счет за услуги          	                        	
услуги                  	                        	                        	                        	                        	

Формирование счета за   	Результат анализа       	                        	Счет за проживание      	                        	
проживание              	                        	                        	                        	                        	

                        	                        	                        	Учет                    	                        	

Формирование итогового  	Untitled Input 8        	                        	                        	                        	
счета                   	                        	                        	                        	                        	

Обслуживание номеров    	Клиенты                 	Правила гостиницы       	Оказание услуги         	Материальная база       	

                        	Плата за услуги         	                        	Прибыль                 	Персонал                	

Подготовка номеров      	Клиенты                 	Правила гостиницы       	Оказание услуги         	Персонал                	

                        	Плата за услуги         	                        	Прибыль                 	Материальная база       	

Плановое обслуживание   	Клиенты                 	Правила гостиницы       	Оказание услуги         	Персонал                	
номеров                 	                        	                        	                        	                        	

                        	Плата за услуги         	                        	Прибыль                 	Материальная база       	

Обеспечение телефонных  	Клиенты                 	Правила гостиницы       	Прибыль                 	Материальная база       	
переговоров             	                        	                        	                        	                        	

                        	Плата за услуги         	                        	Оказание услуги         	Персонал                	

Оповещение о пропущенных	Клиенты                 	Правила гостиницы       	Оказание услуги         	Персонал                	
звонках                 	                        	                        	                        	                        	

Соединение с номером    	Клиенты                 	Правила гостиницы       	Оказание услуги         	Персонал                	

                        	                        	                        	Переговоры              	Материальная база       	

Ведение телефонных      	Переговоры              	Правила гостиницы       	Счет                    	Персонал                	
переговоров             	                        	                        	                        	                        	

Оплата телефонных       	Клиенты                 	Правила гостиницы       	Прибыль                 	Персонал                	
переговоров             	                        	                        	                        	                        	

                        	Счет                    	                        	                        	                        	

                        	Плата за услуги         	                        	                        	                        	

