id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
56766;https://www.airbnb.com/rooms/56766;Amazing duplex-terrace in old Lyon;269557;Isabelle;f;5e Arrondissement;Entire apartment;Entire home/apt;2 baths;3;4;"[""Shampoo"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Dryer"", ""Paid parking off premises"", ""Wifi"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Heating"", ""Indoor fireplace""]";250.00;55;2010-11-15;2018-09-04;94;9;9;10;10;10;9;0.45
134539;https://www.airbnb.com/rooms/134539;Centre of old town,home sweet home;660135;Polali;f;5e Arrondissement;Entire apartment;Entire home/apt;1 bath;2;2;"[""Oven"", ""Iron"", ""Heating"", ""Dishes and silverware"", ""Coffee maker"", ""Lockbox"", ""Hot water"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Smoke alarm"", ""Microwave"", ""Paid parking off premises"", ""Essentials"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Dryer"", ""Cooking basics""]";60.00;120;2019-02-25;2020-09-30;95;10;9;10;10;10;8;5.32
174304;https://www.airbnb.com/rooms/174304;Apartment in the heart of the city;832917;Giuseppina;t;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;3;4;"[""Fire extinguisher"", ""Bed linens"", ""Refrigerator"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""High chair"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Pack \u2019n Play/travel crib"", ""Shampoo"", ""Cooking basics"", ""Elevator"", ""Heating"", ""Coffee maker"", ""TV"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Oven"", ""Hair dryer"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""EV charger"", ""Paid parking off premises"", ""Stove"", ""Luggage dropoff allowed"", ""First aid kit"", ""Essentials"", ""Bathtub"", ""Dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""Host greets you"", ""Wifi""]";164.00;284;2012-07-22;2020-10-19;91;10;10;10;10;10;9;2.76
249711;https://www.airbnb.com/rooms/249711;very pleasant and located idealment;1308521;Anaïs;f;7e Arrondissement;Entire apartment;Entire home/apt;1 bath;3;4;"[""Bed linens"", ""Refrigerator"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Cooking basics"", ""Elevator"", ""Heating"", ""Cable TV"", ""Coffee maker"", ""TV"", ""Hot water"", ""Hangers"", ""Kitchen"", ""Oven"", ""Hair dryer"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""Iron"", ""Stove"", ""Essentials"", ""Wifi""]";120.00;18;2012-03-18;2019-12-08;95;10;9;10;10;9;9;0.17
251630;https://www.airbnb.com/rooms/251630;STUDIO 5 MN OPERA LYON FURNISHED;1319577;Emmanuel;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;;2;"[""Cable TV"", ""Essentials"", ""Hot water"", ""Elevator"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Kitchen"", ""TV"", ""Smoke alarm"", ""Host greets you"", ""Paid parking off premises"", ""Washer"", ""Wifi"", ""Hangers""]";35.00;1;2015-10-24;2015-10-24;100;8;8;8;10;10;10;0.02
298089;https://www.airbnb.com/rooms/298089;triple room in a big flat;1221016;Romain;f;3e Arrondissement;Private room in apartment;Private room;1 shared bath;1;2;"[""Shampoo"", ""Microwave"", ""Kitchen"", ""Oven"", ""Patio or balcony"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Air conditioning"", ""Garden or backyard"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Iron"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Bathtub"", ""Dishwasher""]";26.00;104;2012-02-20;2020-01-30;94;9;9;10;10;9;9;0.97
329950;https://www.airbnb.com/rooms/329950;Roomy and luminous apartment;1683652;NATHALIE Et ALAIN;t;3e Arrondissement;Private room in apartment;Private room;2.5 baths;3;4;"[""Room-darkening shades"", ""Kitchen"", ""TV"", ""Building staff"", ""Dedicated workspace"", ""Bed linens"", ""Dryer"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Essentials"", ""Fireplace guards"", ""Elevator"", ""Hair dryer"", ""Iron"", ""Free parking on premises"", ""Ethernet connection"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Children\u2019s dinnerware"", ""Heating"", ""Indoor fireplace"", ""Bathtub""]";72.00;20;2013-01-02;2019-07-08;94;10;9;10;10;10;10;0.21
342674;https://www.airbnb.com/rooms/342674;★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️;1738855;Yoann & Ida;t;3e Arrondissement;Entire apartment;Entire home/apt;1.5 baths;3;5;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Oven"", ""Patio or balcony"", ""Crib"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Outlet covers"", ""Lockbox"", ""Dryer"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Iron"", ""First aid kit"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Ethernet connection"", ""Washer"", ""Single level home"", ""Baby bath"", ""Hangers"", ""Cable TV"", ""Heating"", ""High chair"", ""Cooking basics"", ""Private entrance"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Indoor fireplace"", ""Coffee maker"", ""Bathtub"", ""Dishwasher""]";155.00;209;2012-06-25;2020-12-01;97;10;9;10;10;10;9;2.02
349150;https://www.airbnb.com/rooms/349150;Charming Flat in old Town center;1769157;Jacques;t;5e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;3;"[""Dishes and silverware"", ""Bed linens"", ""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Microwave"", ""Coffee maker"", ""Iron"", ""Heating"", ""Kitchen"", ""TV"", ""Hot water"", ""Wifi"", ""Hangers""]";99.00;380;2012-04-02;2020-09-02;96;10;9;10;10;10;9;3.58
365998;https://www.airbnb.com/rooms/365998;Studio situé au cœur historique de Lyon;1848025;Anne-Marie;t;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;1;1;"[""Kitchen"", ""TV"", ""Oven"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Coffee maker""]";66.00;108;2012-06-01;2020-10-29;97;10;10;10;10;10;10;1.04
387453;https://www.airbnb.com/rooms/387453;in downtown LYON, your little PROVENCE;718463;Lionel, Layla & Samuel;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;3;4;"[""Shampoo"", ""Microwave"", ""Kitchen"", ""Oven"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Outlet covers"", ""Dryer"", ""Host greets you"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Fireplace guards"", ""Elevator"", ""Iron"", ""First aid kit"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Children\u2019s dinnerware"", ""Table corner guards"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Dishwasher""]";90.00;69;2012-05-02;2020-08-10;91;9;9;9;10;10;9;0.66
551810;https://www.airbnb.com/rooms/551810;Charming rooftop house terrace and view Fourviere;2711663;Julie Et Michael;f;1er Arrondissement;Entire loft;Entire home/apt;1 bath;1;2;"[""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Paid parking garage off premises"", ""Kitchen"", ""TV"", ""Cleaning products"", ""Fire extinguisher"", ""Oven"", ""Hot water kettle"", ""Crib"", ""Toaster"", ""Patio or balcony"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Wine glasses"", ""Air conditioning"", ""Pour-over coffee"", ""Shower gel"", ""Board games"", ""Freezer"", ""Dining table"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Outdoor furniture"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""First aid kit"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Nespresso machine"", ""Washer"", ""EV charger"", ""Hangers"", ""Children\u2019s dinnerware"", ""Clothing storage: walk-in closet"", ""Cable TV"", ""Heating"", ""Cooking basics"", ""Babysitter recommendations"", ""Compagnie de Provence body soap"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Dishwasher""]";109.00;37;2015-04-29;2020-09-06;98;10;10;10;10;10;10;0.54
568164;https://www.airbnb.com/rooms/568164;Nice flat in Old Lyon - St Georges;2785977;Charlotte;f;5e Arrondissement;Entire apartment;Entire home/apt;1 bath;1;1;"[""Dishes and silverware"", ""Heating"", ""Cooking basics"", ""Kitchen"", ""TV"", ""Smoke alarm"", ""Hot water"", ""Wifi""]";58.00;19;2012-08-21;2020-01-01;94;10;9;9;9;10;9;0.19
612551;https://www.airbnb.com/rooms/612551;Nice and quiet two rooms flat;3038226;Sophie;f;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;1;3;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Iron"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Children\u2019s dinnerware"", ""Heating"", ""Cooking basics"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Coffee maker""]";80.00;13;2012-12-08;2018-05-18;85;8;8;10;10;9;7;0.13
615644;https://www.airbnb.com/rooms/615644;Une grande chambre confortable.;3000226;Jack & Janie;t;3e Arrondissement;Private room in apartment;Private room;1 shared bath;1;1;"[""Dedicated workspace"", ""Essentials"", ""Shampoo"", ""Hair dryer"", ""Elevator"", ""Heating"", ""Breakfast"", ""Smoke alarm"", ""Host greets you"", ""Bathtub"", ""Wifi"", ""Hangers""]";54.00;172;2012-08-25;2020-01-30;94;10;10;10;10;10;10;1.70
626944;https://www.airbnb.com/rooms/626944;❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️;1803736;Lisa;t;6e Arrondissement;Entire apartment;Entire home/apt;1.5 baths;2;3;"[""Shower gel"", ""Dishwasher"", ""Hangers"", ""Heating"", ""Shampoo"", ""Coffee maker"", ""Baby bath"", ""Iron"", ""Free parking on premises"", ""Baking sheet"", ""First aid kit"", ""Oven"", ""Keypad"", ""Crib"", ""Long term stays allowed"", ""Refrigerator"", ""Bed linens"", ""Smoke alarm"", ""Wifi"", ""Microwave"", ""Private entrance"", ""Room-darkening shades"", ""Elevator"", ""Garden or backyard"", ""Washer"", ""Cable TV"", ""Dedicated workspace"", ""High chair"", ""Hot water"", ""TV"", ""Dryer"", ""Dishes and silverware"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Essentials"", ""Ethernet connection"", ""Hair dryer"", ""Pack \u2019n Play/travel crib"", ""Kitchen"", ""Changing table"", ""Cooking basics"", ""Carbon monoxide alarm""]";115.00;180;2012-09-25;2020-11-28;96;10;9;10;10;10;9;1.79
635366;https://www.airbnb.com/rooms/635366;A LOVELY BEDROOM IN VIEUX-LYON;3165326;Mila & Julien;t;2e Arrondissement;Private room in apartment;Private room;1 shared bath;1;1;"[""Shampoo"", ""Microwave"", ""Kitchen"", ""TV"", ""Paid parking on premises"", ""Oven"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Iron"", ""First aid kit"", ""Breakfast"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Coffee maker"", ""Bathtub""]";52.00;287;2012-08-08;2020-11-29;95;10;10;10;10;10;10;2.82
635954;https://www.airbnb.com/rooms/635954;Lovely typical flat in the old Lyon;3165326;Mila & Julien;t;5e Arrondissement;Entire apartment;Entire home/apt;1 bath;2;2;"[""Shampoo"", ""Microwave"", ""Kitchen"", ""TV"", ""Paid parking on premises"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Free street parking"", ""Heating"", ""Coffee maker""]";102.00;46;2012-08-21;2020-02-03;93;9;10;10;10;10;9;0.45
681291;https://www.airbnb.com/rooms/681291;quiet room in Lyon croix rousse;3469111;Laurence;f;4e Arrondissement;Private room in townhouse;Private room;1 private bath;1;0;"[""Dedicated workspace"", ""Essentials"", ""Shampoo"", ""Hair dryer"", ""Lock on bedroom door"", ""Heating"", ""Luggage dropoff allowed"", ""Private entrance"", ""Host greets you"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Hangers""]";45.00;40;2013-09-22;2020-03-09;94;10;10;10;10;9;9;0.45
695607;https://www.airbnb.com/rooms/695607;"cottage in ""Monchat""";3560828;Nicolas;t;3e Arrondissement;Entire townhouse;Entire home/apt;1 bath;2;2;"[""Shampoo"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Oven"", ""Patio or balcony"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Lockbox"", ""Paid parking off premises"", ""Hot water"", ""Wifi"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Cable TV"", ""Free street parking"", ""Heating"", ""High chair"", ""Cooking basics"", ""Private entrance"", ""Coffee maker"", ""Dishwasher""]";146.00;38;2013-11-01;2020-10-02;98;10;10;10;10;9;9;0.44
747327;https://www.airbnb.com/rooms/747327;Un grand appartement à Lyon;3922797;Sylvain;f;7e Arrondissement;Entire apartment;Entire home/apt;2 baths;4;4;"[""Microwave"", ""Kitchen"", ""TV"", ""Oven"", ""Refrigerator"", ""Dishes and silverware"", ""Stove"", ""Garden or backyard"", ""Host greets you"", ""Hot water"", ""Wifi"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Breakfast"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Cable TV"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Coffee maker"", ""Dishwasher""]";110.00;67;2012-11-03;2020-08-16;98;10;10;10;10;9;10;0.68
758266;https://www.airbnb.com/rooms/758266;Chambre Presqu'île;3994549;Florian;f;2e Arrondissement;Private room in apartment;Private room;1 bath;1;2;"[""Kitchen"", ""Essentials"", ""Wifi"", ""Heating""]";90.00;13;2014-12-07;2015-08-28;97;10;9;10;10;10;9;0.18
766349;https://www.airbnb.com/rooms/766349;Private terrace of Vieux Lyon;4041088;Christine;t;5e Arrondissement;Entire apartment;Entire home/apt;2 baths;3;3;"[""Shampoo"", ""Room-darkening shades"", ""Microwave"", ""Long term stays allowed"", ""Kitchen"", ""TV"", ""Oven"", ""Patio or balcony"", ""Crib"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Lockbox"", ""Garden or backyard"", ""Dryer"", ""Hot water"", ""Wifi"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Fireplace guards"", ""Hair dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Ethernet connection"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Children\u2019s dinnerware"", ""Cable TV"", ""Pocket wifi"", ""BBQ grill"", ""Free street parking"", ""Heating"", ""High chair"", ""Cooking basics"", ""Private entrance"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Indoor fireplace"", ""Coffee maker"", ""Dishwasher""]";193.00;155;2012-12-27;2020-11-26;96;10;10;10;10;10;9;1.60
783471;https://www.airbnb.com/rooms/783471;In the heart of the city;4131244;Cécile;t;1er Arrondissement;Entire apartment;Entire home/apt;1 bath;1;2;"[""Shampoo"", ""Microwave"", ""Kitchen"", ""TV"", ""Oven"", ""Refrigerator"", ""Dedicated workspace"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Host greets you"", ""Baking sheet"", ""Hot water"", ""Paid parking off premises"", ""Wifi"", ""Pack \u2019n Play/travel crib"", ""Essentials"", ""Hair dryer"", ""Iron"", ""First aid kit"", ""Smoke alarm"", ""Washer"", ""Hangers"", ""Changing table"", ""Heating"", ""Cooking basics"", ""Coffee maker"", ""Bathtub""]";66.00;49;2012-12-11;2020-09-24;98;10;10;10;10;10;10;0.50
