<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;M;01.12.12;00:00:00;0,05359;423765060000
ВТБ ао;M;01.01.13;00:00:00;0,05582;620659410000
ВТБ ао;M;01.02.13;00:00:00;0,05588;956736250000
ВТБ ао;M;01.03.13;00:00:00;0,0497;684089840000
ВТБ ао;M;01.04.13;00:00:00;0,04929;1203587690000
ВТБ ао;M;01.05.13;00:00:00;0,046;909928850000
ВТБ ао;M;01.06.13;00:00:00;0,04701;773944750000
ВТБ ао;M;01.07.13;00:00:00;0,04661;689989310000
ВТБ ао;M;01.08.13;00:00:00;0,0445;424102620000
ВТБ ао;M;01.09.13;00:00:00;0,04267;770174060000
ВТБ ао;M;01.10.13;00:00:00;0,04435;1095103330000
ВТБ ао;M;01.11.13;00:00:00;0,04628;1117892430000
ВТБ ао;M;01.12.13;00:00:00;0,04966;883378010000
ВТБ ао;M;01.01.14;00:00:00;0,04544;562228330000
ВТБ ао;M;01.02.14;00:00:00;0,04213;531533830000
ВТБ ао;M;01.03.14;00:00:00;0,0396;1718001780000
ВТБ ао;M;01.04.14;00:00:00;0,03865;1581562680000
ВТБ ао;M;01.05.14;00:00:00;0,0479;1337467810000
ВТБ ао;M;01.06.14;00:00:00;0,0411;1219984610000
ВТБ ао;M;01.07.14;00:00:00;0,0398;1064257460000
ВТБ ао;M;01.08.14;00:00:00;0,0384;699479420000
ВТБ ао;M;01.09.14;00:00:00;0,03804;534436210000
ВТБ ао;M;01.10.14;00:00:00;0,03993;552675470000
ВТБ ао;M;01.11.14;00:00:00;0,0467;1215936210000
ВТБ ао;M;01.12.14;00:00:00;0,067;1901970000000
ВТБ ао;M;01.01.15;00:00:00;0,06894;472099150000
ВТБ ао;M;01.02.15;00:00:00;0,068;435810560000
ВТБ ао;M;01.03.15;00:00:00;0,06;380858460000
ВТБ ао;M;01.04.15;00:00:00;0,0655;670781500000
ВТБ ао;M;01.05.15;00:00:00;0,08025;1045976670000
ВТБ ао;M;01.06.15;00:00:00;0,079;757627400000
ВТБ ао;M;01.07.15;00:00:00;0,072;355294170000
ВТБ ао;M;01.08.15;00:00:00;0,069;297785390000
ВТБ ао;M;01.09.15;00:00:00;0,0677;288953870000
ВТБ ао;M;01.10.15;00:00:00;0,07235;406369030000
ВТБ ао;M;01.11.15;00:00:00;0,071;293559920000
ВТБ ао;M;01.12.15;00:00:00;0,0797;349150430000
ВТБ ао;M;01.01.16;00:00:00;0,0737;393514230000
ВТБ ао;M;01.02.16;00:00:00;0,0734;284381410000
ВТБ ао;M;01.03.16;00:00:00;0,07668;303739850000
ВТБ ао;M;01.04.16;00:00:00;0,07005;351481170000
ВТБ ао;M;01.05.16;00:00:00;0,0684;274461660000
ВТБ ао;M;01.06.16;00:00:00;0,068;282574220000
ВТБ ао;M;01.07.16;00:00:00;0,06741;152728630000
ВТБ ао;M;01.08.16;00:00:00;0,06849;225458160000
ВТБ ао;M;01.09.16;00:00:00;0,0721;360228510000
ВТБ ао;M;01.10.16;00:00:00;0,06775;159481010000
ВТБ ао;M;01.11.16;00:00:00;0,0694;234598360000
ВТБ ао;M;01.12.16;00:00:00;0,074;553056090000
ВТБ ао;M;01.01.17;00:00:00;0,06897;300093660000
