Name_shop,Data_Start,City,Format,SKU_count,conkur
Пятерочка,2019-01-03,Москва,Продуктовый,500,no
Дикси,2018-05-03,Москва,Продуктовый,300,no
Перекресток,2017-05-03,Москва,Продуктовый,700,no
Азбука Вкуса,2019-06-03,Москва,Продуктовый,1500,yes
Вкусвилл,2019-05-15,Москва,Продуктовый,250,no
Магнит,2010-05-03,Санкт-Петербург,Продуктовый,400,yes
Летуаль,2011-08-03,Санкт-Петербург,Летуаль,1000,yes
Zara,2019-01-03,Москва,Одежда,5000,yes
Ашан,2019-02-03,Санкт-Петербург,Продуктовый,785,no
Аптека,2013-05-03,Коломна,Здоровье,250,no
Ремонт обуви,2018-09-03,Коломна,,800,yes
24 Часа,2014-05-03,Коломна,Разное,85,yes
Пончики,2019-02-04,Шатура,Продуктовый,100,no
Хлеб да соль,2015-01-02,Москва,Продуктовый,237,no
