<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
D&J-IND,D,20101001,000000,10829.6800000,0
D&J-IND,D,20101004,000000,10751.2700000,0
D&J-IND,D,20101005,000000,10944.7200000,0
D&J-IND,D,20101006,000000,10967.6500000,0
D&J-IND,D,20101007,000000,10948.5800000,0
D&J-IND,D,20101008,000000,11006.4800000,0
D&J-IND,D,20101011,000000,11010.3400000,0
D&J-IND,D,20101012,000000,11020.4000000,0
D&J-IND,D,20101013,000000,11096.0800000,0
D&J-IND,D,20101014,000000,11094.5700000,0
D&J-IND,D,20101015,000000,11062.7800000,0
D&J-IND,D,20101018,000000,11143.6900000,0
D&J-IND,D,20101019,000000,10978.6200000,0
D&J-IND,D,20101020,000000,11107.9700000,0
D&J-IND,D,20101021,000000,11146.5700000,0
D&J-IND,D,20101022,000000,11132.5600000,0
D&J-IND,D,20101025,000000,11164.0500000,0
D&J-IND,D,20101026,000000,11169.4600000,0
D&J-IND,D,20101027,000000,11126.2800000,0
D&J-IND,D,20101028,000000,11113.9500000,0
D&J-IND,D,20101029,000000,11118.4900000,0
D&J-IND,D,20101101,000000,11124.6200000,0
D&J-IND,D,20101102,000000,11188.7200000,0
D&J-IND,D,20101103,000000,11215.1300000,0
D&J-IND,D,20101104,000000,11434.8400000,0
D&J-IND,D,20101105,000000,11444.0800000,0
D&J-IND,D,20101108,000000,11406.8400000,0
D&J-IND,D,20101109,000000,11346.7500000,0
D&J-IND,D,20101110,000000,11357.0400000,0
D&J-IND,D,20101111,000000,11283.1000000,0
D&J-IND,D,20101112,000000,11192.5800000,0
D&J-IND,D,20101115,000000,11201.9700000,0
D&J-IND,D,20101116,000000,11023.5000000,0
D&J-IND,D,20101117,000000,11007.8800000,0
D&J-IND,D,20101118,000000,11181.2300000,0
D&J-IND,D,20101119,000000,11203.5500000,0
D&J-IND,D,20101122,000000,11178.5800000,0
D&J-IND,D,20101123,000000,11036.3700000,0
D&J-IND,D,20101124,000000,11187.2800000,0
D&J-IND,D,20101126,000000,11092.0000000,0
D&J-IND,D,20101129,000000,11052.4900000,0
D&J-IND,D,20101130,000000,11006.0200000,0
D&J-IND,D,20101201,000000,11255.7800000,0
D&J-IND,D,20101202,000000,11362.4100000,0
D&J-IND,D,20101203,000000,11381.6400000,0
D&J-IND,D,20101206,000000,11362.1900000,0
D&J-IND,D,20101207,000000,11359.1600000,0
D&J-IND,D,20101208,000000,11372.4800000,0
D&J-IND,D,20101209,000000,11370.0600000,0
D&J-IND,D,20101210,000000,11410.3200000,0
D&J-IND,D,20101213,000000,11428.5600000,0
D&J-IND,D,20101214,000000,11476.5400000,0
D&J-IND,D,20101215,000000,11457.4700000,0
D&J-IND,D,20101216,000000,11499.2500000,0
D&J-IND,D,20101217,000000,11491.9100000,0
D&J-IND,D,20101220,000000,11478.1300000,0
D&J-IND,D,20101221,000000,11533.1600000,0
D&J-IND,D,20101222,000000,11559.4900000,0
D&J-IND,D,20101223,000000,11573.4900000,0
D&J-IND,D,20101227,000000,11555.0300000,0
D&J-IND,D,20101228,000000,11575.5400000,0
D&J-IND,D,20101229,000000,11585.3800000,0
D&J-IND,D,20101230,000000,11569.7100000,0
D&J-IND,D,20101231,000000,11577.5100000,0
D&J-IND,D,20110103,000000,11698.9800000,0
D&J-IND,D,20110105,000000,11722.8900000,0
D&J-IND,D,20110106,000000,11697.3100000,0
D&J-IND,D,20110107,000000,11674.7600000,0
D&J-IND,D,20110110,000000,11637.4500000,0
D&J-IND,D,20110111,000000,11671.8800000,0
D&J-IND,D,20110112,000000,11755.4400000,0
D&J-IND,D,20110113,000000,11731.9000000,0
D&J-IND,D,20110114,000000,11787.3800000,0
D&J-IND,D,20110118,000000,11837.9300000,0
D&J-IND,D,20110119,000000,11825.2900000,0
D&J-IND,D,20110120,000000,11822.8700000,0
D&J-IND,D,20110121,000000,11871.8400000,0
D&J-IND,D,20110124,000000,11980.5200000,0
D&J-IND,D,20110125,000000,11977.1900000,0
D&J-IND,D,20110126,000000,11985.4400000,0
D&J-IND,D,20110127,000000,11989.8300000,0
D&J-IND,D,20110128,000000,11823.7000000,0
D&J-IND,D,20110131,000000,11891.9300000,0
D&J-IND,D,20110201,000000,12040.1600000,0
D&J-IND,D,20110202,000000,12041.9700000,0
D&J-IND,D,20110203,000000,12062.2600000,0
D&J-IND,D,20110204,000000,12092.1500000,0
D&J-IND,D,20110207,000000,12161.4000000,0
D&J-IND,D,20110208,000000,12233.1500000,0
D&J-IND,D,20110209,000000,12239.8900000,0
D&J-IND,D,20110210,000000,12229.2900000,0
D&J-IND,D,20110211,000000,12273.2600000,0
D&J-IND,D,20110214,000000,12268.1900000,0
D&J-IND,D,20110215,000000,12226.6400000,0
D&J-IND,D,20110216,000000,12288.1700000,0
D&J-IND,D,20110217,000000,12318.1400000,0
D&J-IND,D,20110218,000000,12391.2500000,0
D&J-IND,D,20110222,000000,12212.7900000,0
D&J-IND,D,20110223,000000,12105.7800000,0
D&J-IND,D,20110224,000000,12068.5000000,0
D&J-IND,D,20110225,000000,12130.4500000,0
D&J-IND,D,20110228,000000,12226.3400000,0
D&J-IND,D,20110301,000000,12058.0200000,0
D&J-IND,D,20110302,000000,12066.8000000,0
D&J-IND,D,20110303,000000,12258.2000000,0
D&J-IND,D,20110304,000000,12169.8800000,0
D&J-IND,D,20110307,000000,12090.0300000,0
D&J-IND,D,20110308,000000,12214.3800000,0
D&J-IND,D,20110309,000000,12213.0900000,0
D&J-IND,D,20110310,000000,11984.6100000,0
D&J-IND,D,20110311,000000,12044.4000000,0
D&J-IND,D,20110314,000000,11993.1600000,0
D&J-IND,D,20110315,000000,11855.4200000,0
D&J-IND,D,20110316,000000,11613.3000000,0
D&J-IND,D,20110317,000000,11774.5900000,0
D&J-IND,D,20110318,000000,11858.5200000,0
D&J-IND,D,20110321,000000,12036.5300000,0
D&J-IND,D,20110322,000000,12018.6300000,0
D&J-IND,D,20110323,000000,12086.0200000,0
D&J-IND,D,20110324,000000,12170.5600000,0
D&J-IND,D,20110325,000000,12220.5900000,0
D&J-IND,D,20110328,000000,12198.1900000,0
D&J-IND,D,20110329,000000,12279.0100000,0
D&J-IND,D,20110330,000000,12350.6100000,0
D&J-IND,D,20110331,000000,12319.7300000,0
D&J-IND,D,20110401,000000,12376.7200000,0
D&J-IND,D,20110404,000000,12400.0300000,0
D&J-IND,D,20110405,000000,12393.9000000,0
D&J-IND,D,20110406,000000,12426.7500000,0
D&J-IND,D,20110407,000000,12409.4900000,0
D&J-IND,D,20110408,000000,12380.0500000,0
D&J-IND,D,20110411,000000,12381.1100000,0
D&J-IND,D,20110412,000000,12263.5800000,0
D&J-IND,D,20110413,000000,12270.9900000,0
D&J-IND,D,20110414,000000,12285.1500000,0
D&J-IND,D,20110415,000000,12341.8300000,0
D&J-IND,D,20110418,000000,12201.5900000,0
D&J-IND,D,20110419,000000,12266.7500000,0
D&J-IND,D,20110420,000000,12453.5400000,0
D&J-IND,D,20110421,000000,12505.9900000,0
D&J-IND,D,20110425,000000,12479.8800000,0
D&J-IND,D,20110426,000000,12595.3700000,0
D&J-IND,D,20110427,000000,12690.9600000,0
D&J-IND,D,20110428,000000,12763.3100000,0
D&J-IND,D,20110429,000000,12810.5400000,0
D&J-IND,D,20110502,000000,12807.3600000,0
D&J-IND,D,20110503,000000,12807.5100000,0
D&J-IND,D,20110504,000000,12723.5800000,0
D&J-IND,D,20110505,000000,12585.7600000,0
D&J-IND,D,20110506,000000,12638.8100000,0
D&J-IND,D,20110509,000000,12684.6800000,0
D&J-IND,D,20110510,000000,12760.3600000,0
D&J-IND,D,20110511,000000,12630.0300000,0
D&J-IND,D,20110512,000000,12695.9200000,0
D&J-IND,D,20110513,000000,12595.6700000,0
D&J-IND,D,20110516,000000,12548.3700000,0
D&J-IND,D,20110517,000000,12479.5800000,0
D&J-IND,D,20110518,000000,12560.1800000,0
