<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
GAZP,D,20101001,000000,160.5400000,60923751
GAZP,D,20101004,000000,161.9900000,61902787
GAZP,D,20101005,000000,162.4400000,61546943
GAZP,D,20101006,000000,163.0000000,67921495
GAZP,D,20101007,000000,162.4900000,43529081
GAZP,D,20101008,000000,163.3500000,43243330
GAZP,D,20101011,000000,165.0000000,35204894
GAZP,D,20101012,000000,163.0000000,44302117
GAZP,D,20101013,000000,164.7400000,57311591
GAZP,D,20101014,000000,162.3000000,56195281
GAZP,D,20101015,000000,161.0000000,44072759
GAZP,D,20101018,000000,163.4000000,51360780
GAZP,D,20101019,000000,162.2700000,57126626
GAZP,D,20101020,000000,161.9000000,39951196
GAZP,D,20101021,000000,165.8000000,76097438
GAZP,D,20101022,000000,168.4900000,80826770
GAZP,D,20101025,000000,169.6200000,76302827
GAZP,D,20101026,000000,168.4500000,50388722
GAZP,D,20101027,000000,167.0200000,42794681
GAZP,D,20101028,000000,167.1700000,46129940
GAZP,D,20101029,000000,168.8900000,50896413
GAZP,D,20101101,000000,169.8900000,46087533
GAZP,D,20101102,000000,170.1600000,28573798
GAZP,D,20101103,000000,170.1900000,33887892
GAZP,D,20101108,000000,174.2000000,62888228
GAZP,D,20101109,000000,176.1000000,70927999
GAZP,D,20101110,000000,174.4700000,54807302
GAZP,D,20101111,000000,172.6000000,42875766
GAZP,D,20101112,000000,171.8800000,46123354
GAZP,D,20101113,000000,171.6900000,13316997
GAZP,D,20101115,000000,171.7900000,35088226
GAZP,D,20101116,000000,169.5700000,37314860
GAZP,D,20101117,000000,168.8100000,40258848
GAZP,D,20101118,000000,170.7000000,33926359
GAZP,D,20101119,000000,172.2000000,43812677
GAZP,D,20101122,000000,169.7100000,56322495
GAZP,D,20101123,000000,167.7000000,47873576
GAZP,D,20101124,000000,170.3200000,65358337
GAZP,D,20101125,000000,172.6000000,62109192
GAZP,D,20101126,000000,174.4900000,76524288
GAZP,D,20101129,000000,173.0300000,55407889
GAZP,D,20101130,000000,174.2000000,46094132
GAZP,D,20101201,000000,182.4900000,148081682
GAZP,D,20101202,000000,189.2000000,170181764
GAZP,D,20101203,000000,190.7000000,159431094
GAZP,D,20101206,000000,194.3000000,94455773
GAZP,D,20101207,000000,192.9500000,102870484
GAZP,D,20101208,000000,190.9000000,72268870
GAZP,D,20101209,000000,192.8300000,55623604
GAZP,D,20101210,000000,192.8700000,49300524
GAZP,D,20101213,000000,195.8000000,63397521
GAZP,D,20101214,000000,197.2000000,62753629
GAZP,D,20101215,000000,195.5600000,74594996
GAZP,D,20101216,000000,193.4300000,51025469
GAZP,D,20101217,000000,194.1100000,61446994
GAZP,D,20101220,000000,194.0300000,32299486
GAZP,D,20101221,000000,195.5200000,29012272
GAZP,D,20101222,000000,197.0000000,42184311
GAZP,D,20101223,000000,196.0100000,32028477
GAZP,D,20101224,000000,195.3200000,16880249
GAZP,D,20101227,000000,194.9000000,17073821
GAZP,D,20101228,000000,194.4100000,17412509
GAZP,D,20101229,000000,192.5000000,24168621
GAZP,D,20101230,000000,193.5000000,20577619
GAZP,D,20110111,000000,194.1500000,32734445
GAZP,D,20110112,000000,200.6400000,69727226
GAZP,D,20110113,000000,197.4000000,74213300
GAZP,D,20110114,000000,195.9200000,67338242
GAZP,D,20110117,000000,198.7000000,52545140
GAZP,D,20110118,000000,198.8000000,78888491
GAZP,D,20110119,000000,198.1200000,57791074
GAZP,D,20110120,000000,194.2000000,65724818
GAZP,D,20110121,000000,192.7100000,74665628
GAZP,D,20110124,000000,189.0500000,70597589
GAZP,D,20110125,000000,190.0000000,57640202
GAZP,D,20110126,000000,197.1400000,89885588
GAZP,D,20110127,000000,201.3000000,126860884
GAZP,D,20110128,000000,199.7000000,77685896
GAZP,D,20110131,000000,196.9800000,50887125
GAZP,D,20110201,000000,204.9100000,87925574
GAZP,D,20110202,000000,209.5100000,140814431
GAZP,D,20110203,000000,207.0300000,90014503
GAZP,D,20110204,000000,213.3000000,112591143
GAZP,D,20110207,000000,213.6000000,67542008
GAZP,D,20110208,000000,210.4000000,116194137
GAZP,D,20110209,000000,215.1500000,86628289
GAZP,D,20110210,000000,208.2200000,87342082
GAZP,D,20110211,000000,208.5000000,80493458
GAZP,D,20110214,000000,203.5100000,71882630
GAZP,D,20110215,000000,199.5000000,84116617
GAZP,D,20110216,000000,199.4000000,104428611
GAZP,D,20110217,000000,195.4500000,68943114
GAZP,D,20110218,000000,195.5000000,67867279
GAZP,D,20110221,000000,198.9200000,54732567
GAZP,D,20110222,000000,197.8000000,56384196
GAZP,D,20110224,000000,208.0500000,147395444
GAZP,D,20110225,000000,209.3000000,92056064
GAZP,D,20110228,000000,210.7100000,67884559
GAZP,D,20110301,000000,209.4800000,99433930
GAZP,D,20110302,000000,212.0000000,65704160
GAZP,D,20110303,000000,213.5400000,84652840
GAZP,D,20110304,000000,212.9000000,49119910
GAZP,D,20110305,000000,214.1200000,17906080
GAZP,D,20110309,000000,214.7700000,56843450
GAZP,D,20110310,000000,207.9500000,66812850
GAZP,D,20110311,000000,209.1000000,77281830
GAZP,D,20110314,000000,216.2500000,134332220
GAZP,D,20110315,000000,217.5000000,159041750
GAZP,D,20110316,000000,221.8100000,165679720
GAZP,D,20110317,000000,224.9100000,109912800
GAZP,D,20110318,000000,224.1000000,76465280
GAZP,D,20110321,000000,222.3600000,54644880
GAZP,D,20110322,000000,220.3200000,53503650
GAZP,D,20110323,000000,223.5000000,61392750
GAZP,D,20110324,000000,224.3000000,84739210
GAZP,D,20110325,000000,222.8100000,54964450
GAZP,D,20110328,000000,225.5000000,54259690
GAZP,D,20110329,000000,224.0100000,59590940
GAZP,D,20110330,000000,229.3200000,79777480
GAZP,D,20110331,000000,229.0900000,70108740
GAZP,D,20110401,000000,235.1000000,77619810
GAZP,D,20110404,000000,237.7000000,101744410
GAZP,D,20110405,000000,238.7200000,71036250
GAZP,D,20110406,000000,239.4000000,70836160
GAZP,D,20110407,000000,238.0000000,63420600
GAZP,D,20110408,000000,243.2000000,75461620
GAZP,D,20110411,000000,244.0000000,93008010
GAZP,D,20110412,000000,235.5700000,101913150
GAZP,D,20110413,000000,235.0700000,87416010
GAZP,D,20110414,000000,228.8700000,80224520
