<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MGNT,D,20101001,000000,3800.0000000,12669
MGNT,D,20101004,000000,3746.9700000,3899
MGNT,D,20101005,000000,3669.9900000,22660
MGNT,D,20101006,000000,3664.8700000,1302
MGNT,D,20101007,000000,3611.2700000,7101
MGNT,D,20101008,000000,3532.9900000,13987
MGNT,D,20101011,000000,3534.9900000,17806
MGNT,D,20101012,000000,3540.0000000,6603
MGNT,D,20101013,000000,3590.0000000,14927
MGNT,D,20101014,000000,3521.0000000,7204
MGNT,D,20101015,000000,3530.0000000,25603
MGNT,D,20101018,000000,3654.0000000,33171
MGNT,D,20101019,000000,3664.0100000,16505
MGNT,D,20101020,000000,3670.0000000,9663
MGNT,D,20101021,000000,3667.0000000,5006
MGNT,D,20101022,000000,3605.0500000,4323
MGNT,D,20101025,000000,3557.0100000,7709
MGNT,D,20101026,000000,3558.0000000,2697
MGNT,D,20101027,000000,3525.0000000,8413
MGNT,D,20101028,000000,3530.0000000,7476
MGNT,D,20101029,000000,3606.0000000,4241
MGNT,D,20101101,000000,3590.0000000,7153
MGNT,D,20101102,000000,3511.0000000,5013
MGNT,D,20101103,000000,3535.0000000,4011
MGNT,D,20101108,000000,3520.0000000,7023
MGNT,D,20101109,000000,3489.0000000,13114
MGNT,D,20101110,000000,3468.0000000,10063
MGNT,D,20101111,000000,3457.1800000,6943
MGNT,D,20101112,000000,3455.1300000,7506
MGNT,D,20101113,000000,3465.0000000,2352
MGNT,D,20101115,000000,3520.9900000,4491
MGNT,D,20101116,000000,3512.0000000,10776
MGNT,D,20101117,000000,3479.0000000,9559
MGNT,D,20101118,000000,3560.0000000,27073
MGNT,D,20101119,000000,3559.9700000,8433
MGNT,D,20101122,000000,3574.8500000,11451
MGNT,D,20101123,000000,3593.9900000,11676
MGNT,D,20101124,000000,3599.0000000,7895
MGNT,D,20101125,000000,3644.9900000,15888
MGNT,D,20101126,000000,3624.8900000,2082
MGNT,D,20101129,000000,3617.0100000,5806
MGNT,D,20101130,000000,3631.0000000,4883
MGNT,D,20101201,000000,3756.0000000,6875
MGNT,D,20101202,000000,3795.0000000,10403
MGNT,D,20101203,000000,3880.0000000,12063
MGNT,D,20101206,000000,3979.9400000,7970
MGNT,D,20101207,000000,3970.0000000,5844
MGNT,D,20101208,000000,4049.9900000,17051
MGNT,D,20101209,000000,4080.0000000,5052
MGNT,D,20101210,000000,4130.0100000,3208
MGNT,D,20101213,000000,4040.0000000,8917
MGNT,D,20101214,000000,4060.0000000,8725
MGNT,D,20101215,000000,4150.0000000,9977
MGNT,D,20101216,000000,3961.0100000,13967
MGNT,D,20101217,000000,3955.0000000,21025
MGNT,D,20101220,000000,3910.0000000,24974
MGNT,D,20101221,000000,3939.7800000,7822
MGNT,D,20101222,000000,3990.0000000,7417
MGNT,D,20101223,000000,4036.0000000,5873
MGNT,D,20101224,000000,4056.0100000,4693
MGNT,D,20101227,000000,3967.0500000,2328
MGNT,D,20101228,000000,3974.0500000,2296
MGNT,D,20101229,000000,4065.0000000,11407
MGNT,D,20101230,000000,4079.9800000,4714
MGNT,D,20110111,000000,4168.6600000,6925
MGNT,D,20110112,000000,4365.0000000,15441
MGNT,D,20110113,000000,4330.0000000,15650
MGNT,D,20110114,000000,4343.0000000,12096
MGNT,D,20110117,000000,4270.0100000,39043
MGNT,D,20110118,000000,4290.0000000,7993
MGNT,D,20110119,000000,4229.7200000,10099
MGNT,D,20110120,000000,4179.9200000,12322
MGNT,D,20110121,000000,4149.0000000,18503
MGNT,D,20110124,000000,4079.9300000,13012
MGNT,D,20110125,000000,4049.5500000,39097
MGNT,D,20110126,000000,4100.0000000,47586
MGNT,D,20110127,000000,4053.8900000,8257
MGNT,D,20110128,000000,3940.0000000,18002
MGNT,D,20110131,000000,3902.0100000,14155
MGNT,D,20110201,000000,3950.0000000,10045
MGNT,D,20110202,000000,4049.0000000,32611
MGNT,D,20110203,000000,3909.9900000,22906
MGNT,D,20110204,000000,3860.0000000,9594
MGNT,D,20110207,000000,3785.0000000,11772
MGNT,D,20110208,000000,3777.0000000,21083
MGNT,D,20110209,000000,3769.9000000,14867
MGNT,D,20110210,000000,3709.9600000,9265
MGNT,D,20110211,000000,3720.0000000,15258
MGNT,D,20110214,000000,3796.0000000,10864
MGNT,D,20110215,000000,3763.8500000,9352
