<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MVID,D,20101001,000000,194.3800000,19406
MVID,D,20101004,000000,190.0000000,31039
MVID,D,20101005,000000,187.0000000,17651
MVID,D,20101006,000000,190.0400000,36482
MVID,D,20101007,000000,199.8500000,204248
MVID,D,20101008,000000,197.7100000,116703
MVID,D,20101011,000000,206.0000000,180556
MVID,D,20101012,000000,202.5000000,89171
MVID,D,20101013,000000,205.5200000,32463
MVID,D,20101014,000000,204.6000000,12447
MVID,D,20101015,000000,211.0000000,50667
MVID,D,20101018,000000,214.0000000,35576
MVID,D,20101019,000000,213.0000000,22932
MVID,D,20101020,000000,218.7600000,61753
MVID,D,20101021,000000,220.0000000,85430
MVID,D,20101022,000000,218.6800000,76498
MVID,D,20101025,000000,219.9700000,16848
MVID,D,20101026,000000,222.0000000,347582
MVID,D,20101027,000000,231.0000000,73612
MVID,D,20101028,000000,238.0500000,63108
MVID,D,20101029,000000,237.4700000,17163
MVID,D,20101101,000000,236.0000000,12831
MVID,D,20101102,000000,237.0100000,8677
MVID,D,20101103,000000,234.3000000,7891
MVID,D,20101108,000000,232.9600000,26541
MVID,D,20101109,000000,233.5600000,9702
MVID,D,20101110,000000,225.0000000,57333
MVID,D,20101111,000000,227.5000000,55265
MVID,D,20101112,000000,222.0000000,16013
MVID,D,20101113,000000,225.9600000,4422
MVID,D,20101115,000000,222.8000000,24550
MVID,D,20101116,000000,227.0000000,38448
MVID,D,20101117,000000,229.1600000,55534
MVID,D,20101118,000000,236.0000000,72709
MVID,D,20101119,000000,246.2800000,75495
MVID,D,20101122,000000,247.5000000,29871
MVID,D,20101123,000000,247.3000000,16777
MVID,D,20101124,000000,250.0200000,84274
MVID,D,20101125,000000,255.0000000,52862
MVID,D,20101126,000000,258.0000000,20897
MVID,D,20101129,000000,254.0000000,88014
MVID,D,20101130,000000,257.6800000,10821
MVID,D,20101201,000000,258.8900000,77180
MVID,D,20101202,000000,267.0000000,71749
MVID,D,20101203,000000,267.2400000,28910
MVID,D,20101206,000000,268.4900000,9742
MVID,D,20101207,000000,271.0500000,24758
MVID,D,20101208,000000,279.9900000,99292
MVID,D,20101209,000000,278.6200000,34459
MVID,D,20101210,000000,281.5000000,21826
MVID,D,20101213,000000,278.9000000,44658
MVID,D,20101214,000000,276.7500000,28347
MVID,D,20101215,000000,275.5000000,25534
MVID,D,20101216,000000,271.9900000,115858
MVID,D,20101217,000000,270.0000000,35421
MVID,D,20101220,000000,267.9900000,120661
MVID,D,20101221,000000,267.0000000,12541
MVID,D,20101222,000000,268.0000000,324333
MVID,D,20101223,000000,268.1400000,26911
MVID,D,20101224,000000,267.5000000,76349
MVID,D,20101227,000000,263.5000000,26214
MVID,D,20101228,000000,264.5000000,74782
MVID,D,20101229,000000,267.4900000,183129
MVID,D,20101230,000000,266.7500000,168177
MVID,D,20110111,000000,267.9900000,36955
MVID,D,20110112,000000,265.5000000,198603
MVID,D,20110113,000000,262.4000000,207637
MVID,D,20110114,000000,261.7500000,15001
MVID,D,20110117,000000,261.7500000,40519
MVID,D,20110118,000000,260.0000000,194826
MVID,D,20110119,000000,268.0000000,48391
MVID,D,20110120,000000,277.1600000,199320
MVID,D,20110121,000000,284.4700000,156569
MVID,D,20110124,000000,277.0000000,74430
MVID,D,20110125,000000,273.8300000,12878
MVID,D,20110126,000000,275.0000000,204090
MVID,D,20110127,000000,276.0000000,113960
MVID,D,20110128,000000,274.5000000,106187
MVID,D,20110131,000000,274.0000000,29856
MVID,D,20110201,000000,272.4800000,11272
MVID,D,20110202,000000,271.9900000,15141
MVID,D,20110203,000000,270.4900000,8078
MVID,D,20110204,000000,271.0000000,16032
MVID,D,20110207,000000,271.4900000,69399
MVID,D,20110208,000000,268.6200000,24881
MVID,D,20110209,000000,268.0000000,74363
MVID,D,20110210,000000,259.1800000,37783
MVID,D,20110211,000000,266.5000000,44483
MVID,D,20110214,000000,266.3000000,50357
MVID,D,20110215,000000,269.9700000,30977
MVID,D,20110216,000000,287.0000000,107906
MVID,D,20110217,000000,279.7300000,147592
MVID,D,20110218,000000,282.4900000,18179
MVID,D,20110221,000000,289.9800000,48191
MVID,D,20110222,000000,285.9000000,22882
MVID,D,20110224,000000,281.0000000,49235
MVID,D,20110225,000000,274.0000000,6629
MVID,D,20110228,000000,273.0000000,194651
MVID,D,20110301,000000,269.0000000,32450
MVID,D,20110302,000000,270.7400000,52270
MVID,D,20110303,000000,261.5200000,72550
MVID,D,20110304,000000,266.5000000,61670
MVID,D,20110305,000000,270.0000000,12810
MVID,D,20110309,000000,271.0000000,8730
MVID,D,20110310,000000,268.9000000,13270
MVID,D,20110311,000000,270.9900000,26330
MVID,D,20110314,000000,266.0000000,58820
MVID,D,20110315,000000,263.0000000,123320
MVID,D,20110316,000000,251.5500000,69650
MVID,D,20110317,000000,248.0000000,23630
MVID,D,20110318,000000,244.7800000,45970
MVID,D,20110321,000000,245.0000000,46160
MVID,D,20110322,000000,244.5000000,52140
MVID,D,20110323,000000,248.5000000,42590
MVID,D,20110324,000000,248.9900000,32170
MVID,D,20110325,000000,265.0000000,176340
MVID,D,20110328,000000,272.9700000,75780
MVID,D,20110329,000000,266.6000000,85820
MVID,D,20110330,000000,274.9900000,40710
MVID,D,20110331,000000,272.0000000,57340
MVID,D,20110401,000000,272.4700000,31970
MVID,D,20110404,000000,274.2100000,90970
MVID,D,20110405,000000,270.2600000,74850
MVID,D,20110406,000000,268.9900000,29320
MVID,D,20110407,000000,276.9100000,127640
MVID,D,20110408,000000,271.0000000,105680
MVID,D,20110411,000000,268.0000000,31840
MVID,D,20110412,000000,263.9800000,48390
MVID,D,20110413,000000,263.5000000,15040
MVID,D,20110414,000000,261.9900000,49260
MVID,D,20110415,000000,264.3500000,48390
MVID,D,20110418,000000,259.0000000,91400
MVID,D,20110419,000000,257.0000000,24400
MVID,D,20110420,000000,255.4000000,46010
MVID,D,20110421,000000,254.2500000,143570
MVID,D,20110422,000000,256.7500000,35310
MVID,D,20110425,000000,251.0500000,24140
MVID,D,20110426,000000,256.0000000,23460
MVID,D,20110427,000000,258.4500000,47220
MVID,D,20110428,000000,269.0000000,57400
MVID,D,20110429,000000,264.0000000,18210
