<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,60,20210104,110000,438.2500000
ROSN,60,20210104,120000,436.6000000
ROSN,60,20210104,130000,436.7500000
ROSN,60,20210104,140000,436.8500000
ROSN,60,20210104,150000,436.9000000
ROSN,60,20210104,160000,436.0500000
ROSN,60,20210104,170000,437.7500000
ROSN,60,20210104,180000,441.7500000
ROSN,60,20210104,190000,442.0500000
ROSN,60,20210104,200000,438.9500000
ROSN,60,20210104,210000,436.8000000
ROSN,60,20210104,220000,437.2000000
ROSN,60,20210104,230000,436.4500000
ROSN,60,20210105,000000,436.0000000
ROSN,60,20210105,110000,434.7500000
ROSN,60,20210105,120000,436.9000000
ROSN,60,20210105,130000,437.3500000
ROSN,60,20210105,140000,437.3500000
ROSN,60,20210105,150000,436.6000000
ROSN,60,20210105,160000,437.9500000
ROSN,60,20210105,170000,438.7500000
ROSN,60,20210105,180000,442.6500000
ROSN,60,20210105,190000,445.6000000
ROSN,60,20210105,200000,446.0000000
ROSN,60,20210105,210000,446.3500000
ROSN,60,20210105,220000,449.0000000
ROSN,60,20210105,230000,448.3500000
ROSN,60,20210106,000000,449.3500000
ROSN,60,20210106,110000,448.0000000
ROSN,60,20210106,120000,445.6000000
ROSN,60,20210106,130000,446.3000000
ROSN,60,20210106,140000,449.1000000
ROSN,60,20210106,150000,449.7500000
ROSN,60,20210106,160000,446.1000000
ROSN,60,20210106,170000,449.5500000
ROSN,60,20210106,180000,450.4000000
ROSN,60,20210106,190000,454.1500000
ROSN,60,20210106,200000,452.5000000
ROSN,60,20210106,210000,452.6500000
ROSN,60,20210106,220000,453.2500000
ROSN,60,20210106,230000,451.1500000
ROSN,60,20210107,000000,453.7000000
ROSN,60,20210108,110000,471.1000000
ROSN,60,20210108,120000,470.9000000
ROSN,60,20210108,130000,469.9000000
ROSN,60,20210108,140000,472.4000000
ROSN,60,20210108,150000,473.3500000
ROSN,60,20210108,160000,474.6500000
ROSN,60,20210108,170000,479.1500000
ROSN,60,20210108,180000,478.1500000
ROSN,60,20210108,190000,474.5500000
ROSN,60,20210108,200000,475.7500000
