<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,D,20101001,000000,89.0900000,332429890
SBER,D,20101004,000000,89.8800000,194032721
SBER,D,20101005,000000,91.9700000,198775753
SBER,D,20101006,000000,91.2000000,210406027
SBER,D,20101007,000000,90.4000000,145137617
SBER,D,20101008,000000,90.5000000,125230555
SBER,D,20101011,000000,91.7400000,64277589
SBER,D,20101012,000000,90.9000000,129917836
SBER,D,20101013,000000,91.3000000,224207640
SBER,D,20101014,000000,91.4700000,174581744
SBER,D,20101015,000000,92.5300000,167096115
SBER,D,20101018,000000,94.9600000,226732208
SBER,D,20101019,000000,95.3700000,258771507
SBER,D,20101020,000000,97.7000000,205862977
SBER,D,20101021,000000,103.3100000,384367907
SBER,D,20101022,000000,101.9000000,240038898
SBER,D,20101025,000000,102.3000000,131972417
SBER,D,20101026,000000,101.4200000,156315853
SBER,D,20101027,000000,99.7200000,138528539
SBER,D,20101028,000000,99.3500000,150956117
SBER,D,20101029,000000,101.3600000,170649901
SBER,D,20101101,000000,101.8500000,145458267
SBER,D,20101102,000000,102.3500000,97340376
SBER,D,20101103,000000,103.3000000,98225650
SBER,D,20101108,000000,103.9500000,156520399
SBER,D,20101109,000000,103.5900000,155664250
SBER,D,20101110,000000,100.4400000,215013743
SBER,D,20101111,000000,98.4000000,233655844
SBER,D,20101112,000000,97.9400000,233233020
SBER,D,20101113,000000,97.8000000,24060330
SBER,D,20101115,000000,99.2000000,145037988
SBER,D,20101116,000000,95.2600000,243007245
SBER,D,20101117,000000,97.2000000,278978860
SBER,D,20101118,000000,99.6600000,224809066
SBER,D,20101119,000000,98.7000000,170893376
SBER,D,20101122,000000,99.1500000,168054538
SBER,D,20101123,000000,98.5000000,221415906
SBER,D,20101124,000000,101.3100000,219105320
SBER,D,20101125,000000,102.6000000,173769896
SBER,D,20101126,000000,101.3600000,175651899
SBER,D,20101129,000000,100.7100000,163566614
SBER,D,20101130,000000,101.5100000,161577920
SBER,D,20101201,000000,103.3400000,167721162
SBER,D,20101202,000000,103.6400000,226749029
SBER,D,20101203,000000,103.0300000,174973698
SBER,D,20101206,000000,105.5600000,251853987
SBER,D,20101207,000000,107.3700000,248860093
SBER,D,20101208,000000,104.6700000,276492126
SBER,D,20101209,000000,104.6300000,204222797
SBER,D,20101210,000000,104.9200000,109932430
SBER,D,20101213,000000,107.4500000,136601988
SBER,D,20101214,000000,107.2500000,149054219
SBER,D,20101215,000000,107.7000000,159641413
SBER,D,20101216,000000,106.3000000,114366204
SBER,D,20101217,000000,105.7000000,90511802
SBER,D,20101220,000000,105.6000000,95504751
SBER,D,20101221,000000,106.8000000,87083986
SBER,D,20101222,000000,106.7800000,73835745
SBER,D,20101223,000000,106.9900000,42710368
SBER,D,20101224,000000,106.2300000,34252423
SBER,D,20101227,000000,105.1200000,41752690
SBER,D,20101228,000000,104.4700000,59869796
SBER,D,20101229,000000,104.3500000,65831554
SBER,D,20101230,000000,104.1800000,54011898
SBER,D,20110111,000000,103.7800000,168295493
SBER,D,20110112,000000,107.0800000,158000084
SBER,D,20110113,000000,107.5400000,202552956
SBER,D,20110114,000000,107.2100000,111849846
SBER,D,20110117,000000,109.5700000,128877249
SBER,D,20110118,000000,108.0800000,183491362
SBER,D,20110119,000000,107.6600000,135632953
SBER,D,20110120,000000,105.2100000,163474355
SBER,D,20110121,000000,105.6100000,184450738
SBER,D,20110124,000000,104.0500000,139685608
SBER,D,20110125,000000,105.9800000,174368175
SBER,D,20110126,000000,108.6000000,161511179
SBER,D,20110127,000000,107.7400000,185175141
SBER,D,20110128,000000,106.3800000,115446283
SBER,D,20110131,000000,105.9000000,162954337
SBER,D,20110201,000000,106.4000000,156583633
SBER,D,20110202,000000,104.3000000,196341585
SBER,D,20110203,000000,103.8800000,145746364
SBER,D,20110204,000000,102.8000000,142534225
SBER,D,20110207,000000,103.1800000,153108290
SBER,D,20110208,000000,101.4200000,184772792
SBER,D,20110209,000000,99.8600000,173956445
SBER,D,20110210,000000,96.3000000,237594268
SBER,D,20110211,000000,101.0400000,316908698
SBER,D,20110214,000000,101.2900000,195482757
SBER,D,20110215,000000,99.5100000,186455541
SBER,D,20110216,000000,100.6000000,208295893
SBER,D,20110217,000000,100.9000000,167001379
SBER,D,20110218,000000,100.8200000,130641507
SBER,D,20110221,000000,100.4900000,118235902
SBER,D,20110222,000000,98.5100000,190223650
SBER,D,20110224,000000,97.2000000,252844566
SBER,D,20110225,000000,100.3400000,173055676
SBER,D,20110228,000000,102.1000000,172685141
SBER,D,20110301,000000,99.8900000,193923890
SBER,D,20110302,000000,99.5000000,155257370
SBER,D,20110303,000000,101.9900000,182343720
SBER,D,20110304,000000,100.3300000,147805750
SBER,D,20110305,000000,101.5500000,41881820
SBER,D,20110309,000000,102.9100000,205367670
SBER,D,20110310,000000,99.7700000,198655700
SBER,D,20110311,000000,98.7500000,240633670
SBER,D,20110314,000000,97.1000000,215177240
SBER,D,20110315,000000,95.0000000,298751930
SBER,D,20110316,000000,94.4700000,249618060
SBER,D,20110317,000000,98.1900000,234318920
SBER,D,20110318,000000,100.1600000,250384210
SBER,D,20110321,000000,100.5400000,209191330
SBER,D,20110322,000000,100.3000000,194367980
SBER,D,20110323,000000,101.1000000,178949710
SBER,D,20110324,000000,105.0900000,300238080
SBER,D,20110325,000000,106.9400000,259254700
SBER,D,20110328,000000,106.2300000,124798290
SBER,D,20110329,000000,106.2600000,177980330
SBER,D,20110330,000000,106.9300000,133830410
SBER,D,20110331,000000,106.6500000,113729320
SBER,D,20110401,000000,108.7200000,182024290
SBER,D,20110404,000000,108.4300000,163243160
SBER,D,20110405,000000,106.8500000,176633550
SBER,D,20110406,000000,107.9900000,138488890
SBER,D,20110407,000000,106.9800000,129683120
SBER,D,20110408,000000,109.1000000,156359300
SBER,D,20110411,000000,108.4800000,126413730
SBER,D,20110412,000000,104.8800000,169539200
SBER,D,20110413,000000,106.2900000,240214070
SBER,D,20110414,000000,106.4300000,163886230
SBER,D,20110415,000000,105.9200000,115517760
SBER,D,20110418,000000,100.3400000,188255900
SBER,D,20110419,000000,101.6100000,157782030
SBER,D,20110420,000000,102.8400000,150625170
SBER,D,20110421,000000,102.6600000,110754290
SBER,D,20110422,000000,103.9200000,69267550
SBER,D,20110425,000000,101.8300000,98690160
SBER,D,20110426,000000,101.5000000,137503840
SBER,D,20110427,000000,100.1700000,131408430
SBER,D,20110428,000000,101.1400000,158867930
SBER,D,20110429,000000,100.0000000,91195390
SBER,D,20110503,000000,97.7000000,120692710
SBER,D,20110504,000000,96.4000000,200497690
SBER,D,20110505,000000,95.6100000,193973610
SBER,D,20110506,000000,98.2000000,212040490
SBER,D,20110510,000000,97.3500000,145792420
SBER,D,20110511,000000,96.7800000,134912190
SBER,D,20110512,000000,96.7000000,183051610
SBER,D,20110513,000000,97.9900000,131946680
SBER,D,20110516,000000,97.9100000,136844670
SBER,D,20110517,000000,96.0700000,144203250
SBER,D,20110518,000000,97.1700000,117549430
SBER,D,20110519,000000,96.5300000,117389910
SBER,D,20110520,000000,94.0000000,159458940
SBER,D,20110523,000000,91.6500000,145597840
SBER,D,20110524,000000,93.6200000,154029210
SBER,D,20110525,000000,95.2500000,138446240
SBER,D,20110526,000000,95.7000000,147951230
SBER,D,20110527,000000,97.1000000,137378530
SBER,D,20110530,000000,97.4000000,50004320
SBER,D,20110531,000000,97.5900000,122162440
SBER,D,20110601,000000,96.7300000,111364170
SBER,D,20110602,000000,96.9100000,114693740
SBER,D,20110603,000000,95.0200000,149824300
SBER,D,20110606,000000,95.9000000,152711950
SBER,D,20110607,000000,96.2500000,129869760
SBER,D,20110608,000000,95.9000000,148472620
SBER,D,20110609,000000,99.2200000,177744170
SBER,D,20110610,000000,97.5500000,118085870
SBER,D,20110614,000000,97.7000000,116153440
SBER,D,20110615,000000,97.7000000,132225090
SBER,D,20110616,000000,96.9700000,138970050
SBER,D,20110617,000000,95.3300000,109307330
SBER,D,20110620,000000,94.7600000,87737160
SBER,D,20110621,000000,96.0500000,102905780
SBER,D,20110622,000000,95.7400000,68371310
SBER,D,20110623,000000,94.1900000,143955670
SBER,D,20110624,000000,97.1500000,179995040
SBER,D,20110627,000000,96.5400000,111169710
SBER,D,20110628,000000,99.1500000,156282170
SBER,D,20110629,000000,99.4700000,139826430
SBER,D,20110630,000000,100.0000000,128575620
SBER,D,20110701,000000,104.5000000,316872450
SBER,D,20110704,000000,104.7200000,119385880
SBER,D,20110705,000000,104.3000000,138909660
SBER,D,20110706,000000,104.3600000,135313350
SBER,D,20110707,000000,107.6200000,192620730
SBER,D,20110708,000000,105.2700000,160393870
SBER,D,20110711,000000,102.4600000,153085940
SBER,D,20110712,000000,102.5500000,227311790
SBER,D,20110713,000000,103.8900000,159058840
SBER,D,20110714,000000,104.3100000,159901420
SBER,D,20110715,000000,105.4600000,192972100
SBER,D,20110718,000000,101.3000000,204644940
SBER,D,20110719,000000,102.3400000,153692450
SBER,D,20110720,000000,101.9000000,123498780
SBER,D,20110721,000000,103.0300000,256055550
SBER,D,20110722,000000,101.8000000,187247690
SBER,D,20110725,000000,102.6200000,140707770
SBER,D,20110726,000000,102.2100000,128031390
SBER,D,20110727,000000,101.6200000,110903940
SBER,D,20110728,000000,102.6400000,121334330
SBER,D,20110729,000000,101.7500000,109397520
SBER,D,20110801,000000,102.7500000,132800630
SBER,D,20110802,000000,102.4700000,125472920
SBER,D,20110803,000000,99.4700000,196846650
SBER,D,20110804,000000,98.6000000,244853800
SBER,D,20110805,000000,95.8500000,321890420
SBER,D,20110808,000000,89.7600000,269167930
SBER,D,20110809,000000,91.5600000,474988840
SBER,D,20110810,000000,85.1600000,432475770
SBER,D,20110811,000000,83.7200000,438469080
SBER,D,20110812,000000,85.5000000,363654000
SBER,D,20110815,000000,88.0600000,197359260
SBER,D,20110816,000000,86.4500000,196687810
SBER,D,20110817,000000,87.0500000,207482710
SBER,D,20110818,000000,81.5900000,262061370
SBER,D,20110819,000000,78.7800000,396178320
SBER,D,20110822,000000,78.7300000,275230340
SBER,D,20110823,000000,77.4400000,345394670
SBER,D,20110824,000000,78.0000000,318956430
SBER,D,20110825,000000,78.9000000,412629480
SBER,D,20110826,000000,77.7900000,331267730
SBER,D,20110829,000000,81.7000000,231914500
SBER,D,20110830,000000,82.1500000,271431990
SBER,D,20110831,000000,84.9300000,286944870
SBER,D,20110901,000000,85.0900000,301131470
SBER,D,20110902,000000,82.4000000,237376740
SBER,D,20110905,000000,80.2000000,233184370
SBER,D,20110906,000000,80.4500000,296364120
SBER,D,20110907,000000,83.6700000,267307870
SBER,D,20110908,000000,85.5700000,327601590
SBER,D,20110909,000000,83.2000000,264538980
SBER,D,20110912,000000,79.6300000,298096390
SBER,D,20110913,000000,80.4100000,314465190
SBER,D,20110914,000000,80.0400000,266276760
SBER,D,20110915,000000,80.9000000,322353200
SBER,D,20110916,000000,81.4900000,284861800
SBER,D,20110919,000000,80.0700000,211484020
SBER,D,20110920,000000,81.8000000,299370560
SBER,D,20110921,000000,81.7200000,193720400
SBER,D,20110922,000000,73.8000000,382423300
SBER,D,20110923,000000,69.9900000,462758470
SBER,D,20110926,000000,69.4000000,451456880
SBER,D,20110927,000000,72.7200000,354974490
SBER,D,20110928,000000,71.0000000,241515790
SBER,D,20110929,000000,74.7000000,413192870
SBER,D,20110930,000000,70.4400000,394404030
SBER,D,20111003,000000,68.2000000,317045900
SBER,D,20111004,000000,62.6500000,457452470
SBER,D,20111005,000000,62.7900000,532243100
SBER,D,20111006,000000,65.8000000,464172250
SBER,D,20111007,000000,68.2200000,368826420
SBER,D,20111010,000000,70.6000000,318102400
SBER,D,20111011,000000,70.1000000,324668790
SBER,D,20111012,000000,74.1100000,467015190
SBER,D,20111013,000000,75.0000000,532905690
SBER,D,20111014,000000,80.7200000,619056960
SBER,D,20111017,000000,79.1000000,572162930
SBER,D,20111018,000000,78.1900000,579082870
SBER,D,20111019,000000,80.7400000,487609210
SBER,D,20111020,000000,80.8400000,545585890
SBER,D,20111021,000000,81.9000000,304857250
SBER,D,20111024,000000,84.2900000,359213680
SBER,D,20111025,000000,82.0900000,339377050
SBER,D,20111026,000000,83.5500000,392057840
SBER,D,20111027,000000,85.4600000,358185940
SBER,D,20111028,000000,85.4000000,344506320
SBER,D,20111031,000000,81.8800000,277724570
SBER,D,20111101,000000,77.2000000,356795740
SBER,D,20111102,000000,78.9200000,431278540
SBER,D,20111103,000000,80.9000000,515805850
SBER,D,20111107,000000,82.5300000,315892860
SBER,D,20111108,000000,84.2200000,287211940
SBER,D,20111109,000000,78.7000000,497575440
SBER,D,20111110,000000,80.4000000,565482740
SBER,D,20111111,000000,80.8000000,312967850
SBER,D,20111114,000000,80.1200000,322925450
SBER,D,20111115,000000,80.6000000,343884310
SBER,D,20111116,000000,79.7500000,298970520
SBER,D,20111117,000000,80.4500000,419445260
SBER,D,20111118,000000,80.0300000,261927310
SBER,D,20111121,000000,75.8500000,293522200
SBER,D,20111122,000000,76.1800000,272390750
SBER,D,20111123,000000,76.7600000,334749270
SBER,D,20111124,000000,75.7100000,177025610
SBER,D,20111125,000000,78.6000000,318867810
SBER,D,20111128,000000,82.9200000,319644400
SBER,D,20111129,000000,82.5800000,251455610
SBER,D,20111130,000000,87.5500000,447451210
SBER,D,20111201,000000,87.7000000,392339640
SBER,D,20111202,000000,89.5000000,409833980
SBER,D,20111205,000000,89.9200000,202445380
SBER,D,20111206,000000,85.9000000,305413640
SBER,D,20111207,000000,85.2500000,356389980
SBER,D,20111208,000000,86.0000000,281561090
SBER,D,20111209,000000,82.2600000,327894620
SBER,D,20111212,000000,79.9600000,267015170
SBER,D,20111213,000000,82.7200000,387819600
SBER,D,20111214,000000,81.3000000,351903240
SBER,D,20111215,000000,82.2700000,326291450
SBER,D,20111216,000000,80.6200000,222647770
SBER,D,20111219,000000,81.8000000,244485250
SBER,D,20111220,000000,82.7100000,214023680
SBER,D,20111221,000000,80.2200000,241363840
SBER,D,20111222,000000,79.9900000,177588950
SBER,D,20111223,000000,80.0000000,123412660
SBER,D,20111226,000000,81.4200000,87355620
SBER,D,20111227,000000,80.0000000,83130410
SBER,D,20111228,000000,79.2800000,70837050
SBER,D,20111229,000000,78.8000000,102632460
SBER,D,20111230,000000,79.4000000,60815400
SBER,D,20120103,000000,82.4100000,78834880
SBER,D,20120104,000000,83.5200000,136539450
SBER,D,20120105,000000,82.5500000,110168460
SBER,D,20120106,000000,83.2000000,126005770
SBER,D,20120109,000000,83.8800000,89202980
SBER,D,20120110,000000,86.8100000,231522540
SBER,D,20120111,000000,84.8500000,247256850
SBER,D,20120112,000000,84.3000000,221897330
SBER,D,20120113,000000,83.6000000,182267630
SBER,D,20120116,000000,83.9500000,123816130
SBER,D,20120117,000000,84.6600000,196172150
SBER,D,20120118,000000,84.7000000,174180770
SBER,D,20120119,000000,85.7000000,227251990
SBER,D,20120120,000000,85.1300000,160807020
SBER,D,20120123,000000,85.0200000,231834010
SBER,D,20120124,000000,85.0400000,174275710
SBER,D,20120125,000000,87.0500000,332922100
SBER,D,20120126,000000,90.4000000,361594410
SBER,D,20120127,000000,90.8000000,199805090
SBER,D,20120130,000000,88.9200000,176726240
SBER,D,20120131,000000,90.1700000,178575700
SBER,D,20120201,000000,92.7500000,255001730
SBER,D,20120202,000000,92.6200000,238041260
SBER,D,20120203,000000,94.5200000,163533170
SBER,D,20120206,000000,93.8000000,156500070
SBER,D,20120207,000000,93.4600000,173039250
SBER,D,20120208,000000,95.1700000,183631880
SBER,D,20120209,000000,95.2800000,244795520
SBER,D,20120210,000000,93.9400000,154034440
SBER,D,20120213,000000,96.1900000,171180880
SBER,D,20120214,000000,96.3600000,174425930
SBER,D,20120215,000000,97.2000000,169537890
SBER,D,20120216,000000,96.2400000,169092850
SBER,D,20120217,000000,96.7600000,149148730
SBER,D,20120220,000000,97.5000000,96081170
SBER,D,20120221,000000,96.6800000,139301920
SBER,D,20120222,000000,96.0900000,152147920
SBER,D,20120224,000000,99.0200000,208950120
SBER,D,20120227,000000,99.7200000,185285170
SBER,D,20120228,000000,98.6400000,155728080
SBER,D,20120229,000000,100.1900000,165098410
SBER,D,20120301,000000,100.2500000,140632000
SBER,D,20120302,000000,101.6000000,171810620
SBER,D,20120305,000000,102.3000000,150504700
SBER,D,20120306,000000,97.3700000,258853940
SBER,D,20120307,000000,97.6800000,195114270
SBER,D,20120311,000000,99.5700000,54485370
SBER,D,20120312,000000,99.0900000,182736710
SBER,D,20120313,000000,100.5300000,141154860
SBER,D,20120314,000000,103.3200000,244109590
SBER,D,20120315,000000,100.6500000,273612090
SBER,D,20120316,000000,100.1800000,155555770
SBER,D,20120319,000000,99.6700000,164894370
SBER,D,20120320,000000,98.4900000,136641160
SBER,D,20120321,000000,98.2000000,169130850
SBER,D,20120322,000000,96.0000000,174545780
SBER,D,20120323,000000,97.6000000,168756190
SBER,D,20120326,000000,99.9800000,144688830
SBER,D,20120327,000000,97.7900000,164054390
SBER,D,20120328,000000,95.9100000,222625770
SBER,D,20120329,000000,93.5500000,200192650
SBER,D,20120330,000000,94.8600000,212381980
SBER,D,20120402,000000,95.1300000,145584870
SBER,D,20120403,000000,98.0000000,220521340
SBER,D,20120404,000000,96.1700000,178432900
SBER,D,20120405,000000,97.4200000,205869000
SBER,D,20120406,000000,95.6400000,115996520
SBER,D,20120409,000000,95.9200000,168138540
SBER,D,20120410,000000,95.5500000,181577150
SBER,D,20120411,000000,96.0000000,161643180
SBER,D,20120412,000000,95.4100000,141249240
SBER,D,20120413,000000,94.1800000,134938150
SBER,D,20120416,000000,92.3100000,189225390
SBER,D,20120417,000000,93.2300000,160171230
SBER,D,20120418,000000,92.9000000,139326480
SBER,D,20120419,000000,94.3500000,147417700
SBER,D,20120420,000000,95.0000000,122154570
SBER,D,20120423,000000,92.5400000,117783470
SBER,D,20120424,000000,92.6500000,119053160
SBER,D,20120425,000000,93.7500000,101784720
SBER,D,20120426,000000,92.6200000,98993610
SBER,D,20120427,000000,93.7900000,116514180
SBER,D,20120428,000000,93.9500000,14091530
SBER,D,20120502,000000,93.0600000,106089120
SBER,D,20120503,000000,92.5500000,106442620
SBER,D,20120504,000000,90.8300000,154887200
SBER,D,20120505,000000,90.4200000,23047600
SBER,D,20120507,000000,88.5000000,85794830
SBER,D,20120508,000000,89.5300000,104430820
SBER,D,20120510,000000,91.7900000,111511920
SBER,D,20120511,000000,91.0400000,104343620
SBER,D,20120512,000000,90.9900000,18694150
SBER,D,20120514,000000,87.5500000,105204220
SBER,D,20120515,000000,88.1900000,170167350
SBER,D,20120516,000000,86.9100000,181486010
SBER,D,20120517,000000,80.7100000,305819360
SBER,D,20120518,000000,78.1900000,391397830
SBER,D,20120521,000000,81.9500000,205634840
SBER,D,20120522,000000,82.8200000,185090920
SBER,D,20120523,000000,78.6500000,188025030
SBER,D,20120524,000000,81.4400000,224415570
SBER,D,20120525,000000,79.8700000,175359560
SBER,D,20120528,000000,80.3700000,104416590
SBER,D,20120529,000000,84.1400000,217330630
SBER,D,20120530,000000,82.3800000,206879940
SBER,D,20120531,000000,81.6900000,261076940
SBER,D,20120601,000000,78.8600000,195124380
SBER,D,20120604,000000,78.1000000,163217860
SBER,D,20120605,000000,78.1100000,133981500
SBER,D,20120606,000000,80.6200000,178791150
SBER,D,20120607,000000,83.4400000,210487480
SBER,D,20120608,000000,81.3800000,179769450
SBER,D,20120609,000000,81.5800000,27412520
SBER,D,20120613,000000,83.0400000,148008160
SBER,D,20120614,000000,83.0500000,95127010
SBER,D,20120615,000000,84.3400000,138912710
SBER,D,20120618,000000,86.2000000,148362920
SBER,D,20120619,000000,86.9600000,117031130
SBER,D,20120620,000000,85.7300000,91870500
SBER,D,20120621,000000,85.3600000,123012040
SBER,D,20120622,000000,83.7600000,109872410
SBER,D,20120625,000000,82.3000000,103106800
SBER,D,20120626,000000,83.6000000,103560930
SBER,D,20120627,000000,84.5000000,95060220
SBER,D,20120628,000000,82.8000000,106310310
SBER,D,20120629,000000,86.3900000,133958290
SBER,D,20120702,000000,87.6500000,124081590
SBER,D,20120703,000000,90.9400000,146840310
SBER,D,20120704,000000,91.1000000,74535320
SBER,D,20120705,000000,90.9200000,171272070
SBER,D,20120706,000000,89.2000000,127263170
SBER,D,20120709,000000,90.0200000,99199150
SBER,D,20120710,000000,91.0000000,114460100
SBER,D,20120711,000000,90.0100000,113339020
SBER,D,20120712,000000,88.9200000,106392090
SBER,D,20120713,000000,90.9800000,95409590
SBER,D,20120716,000000,90.8500000,71736390
SBER,D,20120717,000000,91.2200000,113790430
SBER,D,20120718,000000,91.6000000,68919140
SBER,D,20120719,000000,92.1500000,101966330
SBER,D,20120720,000000,90.1200000,81102960
SBER,D,20120723,000000,86.0000000,150927530
SBER,D,20120724,000000,84.4500000,139524560
SBER,D,20120725,000000,86.9000000,204528680
SBER,D,20120726,000000,88.4500000,155570780
SBER,D,20120727,000000,90.3100000,114666510
SBER,D,20120730,000000,91.2400000,89555900
SBER,D,20120731,000000,89.7300000,104549650
SBER,D,20120801,000000,89.3900000,92647980
SBER,D,20120802,000000,88.7900000,154045460
SBER,D,20120803,000000,91.6600000,126267610
SBER,D,20120806,000000,93.3000000,184964920
SBER,D,20120807,000000,93.9700000,115070840
SBER,D,20120808,000000,93.9400000,94761120
SBER,D,20120809,000000,93.8700000,110759430
SBER,D,20120810,000000,92.8500000,88265810
SBER,D,20120813,000000,93.1800000,95673310
SBER,D,20120814,000000,93.5800000,74680790
SBER,D,20120815,000000,92.9800000,115582090
SBER,D,20120816,000000,92.8200000,80558280
SBER,D,20120817,000000,92.0500000,80749550
SBER,D,20120820,000000,91.5200000,93055740
SBER,D,20120821,000000,93.5700000,95647470
SBER,D,20120822,000000,92.5500000,82297210
SBER,D,20120823,000000,93.0400000,150028320
SBER,D,20120824,000000,92.9100000,100455930
SBER,D,20120827,000000,92.8100000,75780990
SBER,D,20120828,000000,94.4800000,130589890
SBER,D,20120829,000000,94.5400000,126361310
SBER,D,20120830,000000,93.4900000,78089680
SBER,D,20120831,000000,93.1600000,85969400
SBER,D,20120903,000000,94.0800000,59484330
SBER,D,20120904,000000,93.0900000,77443520
SBER,D,20120905,000000,92.8500000,92952810
SBER,D,20120906,000000,93.9500000,143754920
SBER,D,20120907,000000,93.8600000,158445820
SBER,D,20120910,000000,94.4400000,78995670
SBER,D,20120911,000000,94.0300000,77004720
SBER,D,20120912,000000,93.5800000,94837320
SBER,D,20120913,000000,92.7500000,80475750
SBER,D,20120914,000000,97.0500000,248699330
SBER,D,20120917,000000,95.5700000,214996760
SBER,D,20120918,000000,94.7500000,145992970
SBER,D,20120919,000000,93.7800000,314020690
SBER,D,20120920,000000,93.7700000,135015670
SBER,D,20120921,000000,94.1600000,109905710
SBER,D,20120924,000000,94.1700000,70179270
SBER,D,20120925,000000,93.7500000,86568620
SBER,D,20120926,000000,90.7500000,121419110
SBER,D,20120927,000000,90.0700000,128127810
SBER,D,20120928,000000,90.9900000,115490570
SBER,D,20121001,000000,92.3300000,96784670
SBER,D,20121002,000000,91.9000000,92136890
SBER,D,20121003,000000,91.9200000,92081460
SBER,D,20121004,000000,91.4700000,88267580
SBER,D,20121005,000000,93.0200000,105254800
SBER,D,20121008,000000,92.6000000,67806000
SBER,D,20121009,000000,92.6300000,66706290
SBER,D,20121010,000000,92.2900000,76514760
SBER,D,20121011,000000,92.6400000,67024750
SBER,D,20121012,000000,91.5000000,64370620
SBER,D,20121015,000000,91.2800000,60275810
SBER,D,20121016,000000,92.1900000,68724890
SBER,D,20121017,000000,93.1200000,87469120
SBER,D,20121018,000000,93.7000000,87782720
SBER,D,20121019,000000,93.1900000,54562390
SBER,D,20121022,000000,94.1000000,74239530
SBER,D,20121023,000000,93.5900000,82184240
SBER,D,20121024,000000,93.3800000,70541610
SBER,D,20121025,000000,92.8900000,55994440
SBER,D,20121026,000000,91.9500000,74106240
SBER,D,20121029,000000,91.7000000,42503850
SBER,D,20121030,000000,91.2000000,53629350
SBER,D,20121031,000000,91.7900000,51847120
SBER,D,20121101,000000,91.8400000,75161480
SBER,D,20121102,000000,91.9500000,65728930
SBER,D,20121106,000000,91.3400000,44597180
SBER,D,20121107,000000,89.9500000,73967910
SBER,D,20121108,000000,86.3400000,164639890
SBER,D,20121109,000000,85.8000000,94249320
SBER,D,20121112,000000,86.7800000,59365110
SBER,D,20121113,000000,84.3100000,98566270
SBER,D,20121114,000000,84.7200000,92789130
SBER,D,20121115,000000,86.0900000,69973470
SBER,D,20121116,000000,85.9800000,64316470
SBER,D,20121119,000000,87.3400000,78867650
SBER,D,20121120,000000,87.0000000,51026130
SBER,D,20121121,000000,87.8800000,59928270
SBER,D,20121122,000000,88.0100000,52348400
SBER,D,20121123,000000,89.3100000,73966170
SBER,D,20121126,000000,89.2000000,67017030
SBER,D,20121127,000000,89.2000000,51604270
SBER,D,20121128,000000,87.7300000,87915990
SBER,D,20121129,000000,87.9100000,64228830
SBER,D,20121130,000000,91.4100000,229650300
SBER,D,20121203,000000,92.8000000,96633380
SBER,D,20121204,000000,91.8400000,67350750
SBER,D,20121205,000000,93.8300000,99875290
SBER,D,20121206,000000,93.5800000,62149560
SBER,D,20121207,000000,93.2000000,90540320
SBER,D,20121210,000000,93.5900000,71602460
SBER,D,20121211,000000,93.5200000,53149320
SBER,D,20121212,000000,93.8600000,49028390
SBER,D,20121213,000000,93.3900000,68455430
SBER,D,20121214,000000,93.4200000,47460350
SBER,D,20121217,000000,93.5400000,44620530
SBER,D,20121218,000000,95.1100000,81259850
SBER,D,20121219,000000,94.5300000,76413320
SBER,D,20121220,000000,94.6900000,62180770
SBER,D,20121221,000000,93.5000000,50857670
SBER,D,20121224,000000,92.5000000,36085150
SBER,D,20121225,000000,92.3800000,19820530
