<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
USDRUB,D,20101001,000000,30.4700000,0
USDRUB,D,20101002,000000,30.4100000,0
USDRUB,D,20101004,000000,30.4500000,0
USDRUB,D,20101005,000000,30.0200000,0
USDRUB,D,20101006,000000,29.7800000,0
USDRUB,D,20101007,000000,29.7900000,0
USDRUB,D,20101008,000000,29.8600000,0
USDRUB,D,20101009,000000,29.9800000,0
USDRUB,D,20101010,000000,29.7700000,0
USDRUB,D,20101011,000000,29.9200000,0
USDRUB,D,20101012,000000,29.9900000,0
USDRUB,D,20101013,000000,30.1100000,0
USDRUB,D,20101014,000000,30.0500000,0
USDRUB,D,20101015,000000,30.3000000,0
USDRUB,D,20101016,000000,30.2300000,0
USDRUB,D,20101018,000000,30.3400000,0
USDRUB,D,20101019,000000,30.7300000,0
USDRUB,D,20101020,000000,30.6800000,0
USDRUB,D,20101021,000000,30.6500000,0
USDRUB,D,20101022,000000,30.3500000,0
USDRUB,D,20101023,000000,30.3900000,0
USDRUB,D,20101024,000000,30.2900000,0
USDRUB,D,20101025,000000,30.2900000,0
USDRUB,D,20101026,000000,30.4600000,0
USDRUB,D,20101027,000000,30.6900000,0
USDRUB,D,20101028,000000,30.5900000,0
USDRUB,D,20101029,000000,30.8500000,0
USDRUB,D,20101030,000000,30.7400000,0
USDRUB,D,20101101,000000,30.8100000,0
USDRUB,D,20101102,000000,30.7600000,0
USDRUB,D,20101103,000000,30.8000000,0
USDRUB,D,20101104,000000,30.7500000,0
USDRUB,D,20101105,000000,30.5200000,0
USDRUB,D,20101106,000000,30.8100000,0
USDRUB,D,20101108,000000,30.8100000,0
USDRUB,D,20101109,000000,30.8000000,0
USDRUB,D,20101110,000000,30.6400000,0
USDRUB,D,20101111,000000,30.6300000,0
USDRUB,D,20101112,000000,30.8100000,0
USDRUB,D,20101113,000000,30.7700000,0
USDRUB,D,20101114,000000,30.7600000,0
USDRUB,D,20101115,000000,30.9900000,0
USDRUB,D,20101116,000000,31.2300000,0
USDRUB,D,20101117,000000,31.3300000,0
USDRUB,D,20101118,000000,31.0400000,0
USDRUB,D,20101119,000000,31.0900000,0
USDRUB,D,20101120,000000,31.1100000,0
USDRUB,D,20101121,000000,31.0000000,0
USDRUB,D,20101122,000000,31.1200000,0
USDRUB,D,20101123,000000,31.4100000,0
USDRUB,D,20101124,000000,31.3300000,0
USDRUB,D,20101125,000000,31.1900000,0
USDRUB,D,20101126,000000,31.3800000,0
USDRUB,D,20101127,000000,31.3900000,0
USDRUB,D,20101128,000000,31.3000000,0
USDRUB,D,20101129,000000,31.3400000,0
USDRUB,D,20101130,000000,31.5200000,0
USDRUB,D,20101201,000000,31.3600000,0
USDRUB,D,20101202,000000,31.2100000,633
USDRUB,D,20101203,000000,31.2400000,0
USDRUB,D,20101204,000000,31.3200000,0
USDRUB,D,20101206,000000,31.2000000,0
USDRUB,D,20101207,000000,31.1200000,0
USDRUB,D,20101208,000000,31.0400000,0
USDRUB,D,20101209,000000,30.9300000,0
USDRUB,D,20101210,000000,30.9300000,0
USDRUB,D,20101211,000000,30.9100000,0
USDRUB,D,20101213,000000,30.6800000,0
USDRUB,D,20101214,000000,30.7000000,0
USDRUB,D,20101215,000000,30.7900000,0
USDRUB,D,20101216,000000,30.7200000,0
USDRUB,D,20101217,000000,30.8100000,0
USDRUB,D,20101218,000000,30.7800000,0
USDRUB,D,20101220,000000,30.8300000,0
USDRUB,D,20101221,000000,30.7300000,0
USDRUB,D,20101222,000000,30.6300000,0
USDRUB,D,20101223,000000,30.5600000,0
USDRUB,D,20101224,000000,30.4800000,0
USDRUB,D,20101225,000000,30.4600000,0
USDRUB,D,20101226,000000,30.4700000,0
USDRUB,D,20101227,000000,30.3200000,0
USDRUB,D,20101228,000000,30.3400000,0
USDRUB,D,20101229,000000,30.4600000,0
USDRUB,D,20101230,000000,30.5500000,0
USDRUB,D,20101231,000000,30.5700000,0
USDRUB,D,20110101,000000,30.5500000,0
USDRUB,D,20110103,000000,30.5300000,0
USDRUB,D,20110104,000000,30.3760000,0
USDRUB,D,20110105,000000,30.6400000,0
USDRUB,D,20110106,000000,30.6800000,0
USDRUB,D,20110107,000000,30.7500000,0
USDRUB,D,20110110,000000,30.7200000,0
USDRUB,D,20110111,000000,30.5100000,0
USDRUB,D,20110112,000000,30.0900000,0
USDRUB,D,20110113,000000,29.9400000,0
USDRUB,D,20110114,000000,30.0000000,0
USDRUB,D,20110115,000000,30.0000000,0
USDRUB,D,20110116,000000,29.9700000,0
USDRUB,D,20110117,000000,29.9700000,0
USDRUB,D,20110118,000000,29.8900000,0
USDRUB,D,20110119,000000,29.8300000,0
USDRUB,D,20110120,000000,29.9700000,0
USDRUB,D,20110121,000000,29.9500000,0
USDRUB,D,20110122,000000,29.9500000,0
USDRUB,D,20110123,000000,29.9800000,0
USDRUB,D,20110124,000000,29.8300000,0
USDRUB,D,20110125,000000,29.7100000,0
USDRUB,D,20110126,000000,29.7200000,0
USDRUB,D,20110127,000000,29.5800000,0
USDRUB,D,20110128,000000,29.7700000,0
USDRUB,D,20110129,000000,29.8000000,0
USDRUB,D,20110130,000000,29.7300000,0
USDRUB,D,20110131,000000,29.8000000,0
USDRUB,D,20110201,000000,29.5200000,0
USDRUB,D,20110202,000000,29.4300000,0
USDRUB,D,20110203,000000,29.4300000,0
USDRUB,D,20110204,000000,29.4000000,0
USDRUB,D,20110205,000000,29.4300000,0
USDRUB,D,20110206,000000,29.4200000,0
USDRUB,D,20110207,000000,29.2600000,0
USDRUB,D,20110208,000000,29.2600000,0
USDRUB,D,20110209,000000,29.2400000,0
USDRUB,D,20110210,000000,29.3500000,0
USDRUB,D,20110211,000000,29.3100000,0
USDRUB,D,20110212,000000,29.3400000,0
USDRUB,D,20110213,000000,29.3400000,0
USDRUB,D,20110214,000000,29.2800000,0
USDRUB,D,20110215,000000,29.3200000,0
USDRUB,D,20110216,000000,29.2100000,0
USDRUB,D,20110217,000000,29.2400000,0
USDRUB,D,20110218,000000,29.1200000,0
USDRUB,D,20110219,000000,29.1600000,0
USDRUB,D,20110220,000000,29.1700000,0
USDRUB,D,20110221,000000,29.1500000,0
USDRUB,D,20110222,000000,29.2700000,0
USDRUB,D,20110223,000000,29.1700000,0
USDRUB,D,20110224,000000,28.9800000,0
USDRUB,D,20110225,000000,28.9500000,0
USDRUB,D,20110226,000000,28.9300000,0
USDRUB,D,20110227,000000,28.9400000,0
USDRUB,D,20110228,000000,28.8500000,0
USDRUB,D,20110301,000000,28.7400000,0
USDRUB,D,20110302,000000,28.3800000,0
USDRUB,D,20110303,000000,28.1800000,0
USDRUB,D,20110304,000000,28.1600000,0
USDRUB,D,20110305,000000,28.2200000,0
USDRUB,D,20110306,000000,28.1800000,0
USDRUB,D,20110307,000000,28.2200000,0
USDRUB,D,20110308,000000,28.1600000,0
USDRUB,D,20110309,000000,28.3600000,0
USDRUB,D,20110310,000000,28.6100000,0
USDRUB,D,20110311,000000,28.6800000,0
USDRUB,D,20110312,000000,28.7600000,0
USDRUB,D,20110314,000000,28.4900000,0
USDRUB,D,20110315,000000,28.7100000,0
USDRUB,D,20110316,000000,28.6800000,0
USDRUB,D,20110317,000000,28.6300000,0
USDRUB,D,20110318,000000,28.4500000,0
USDRUB,D,20110319,000000,28.4400000,0
USDRUB,D,20110320,000000,28.4500000,0
USDRUB,D,20110321,000000,28.2400000,0
USDRUB,D,20110322,000000,28.2300000,0
USDRUB,D,20110323,000000,28.3900000,0
USDRUB,D,20110324,000000,28.3000000,0
USDRUB,D,20110325,000000,28.2500000,0
USDRUB,D,20110326,000000,28.2800000,0
USDRUB,D,20110328,000000,28.3400000,0
USDRUB,D,20110329,000000,28.3500000,0
USDRUB,D,20110330,000000,28.5500000,0
USDRUB,D,20110331,000000,28.4200000,0
USDRUB,D,20110401,000000,28.2700000,0
USDRUB,D,20110402,000000,28.2400000,0
USDRUB,D,20110404,000000,28.2900000,0
USDRUB,D,20110405,000000,28.2700000,0
