<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
YNDX,D,20140604,000000,1170.0000000,35146
YNDX,D,20140605,000000,1145.1000000,24973
YNDX,D,20140606,000000,1163.0000000,7889
YNDX,D,20140609,000000,1172.1000000,7304
YNDX,D,20140610,000000,1170.0000000,3207
YNDX,D,20140611,000000,1179.9000000,8837
YNDX,D,20140616,000000,1165.0000000,13904
YNDX,D,20140617,000000,1185.5000000,8517
YNDX,D,20140618,000000,1182.9000000,1455
YNDX,D,20140619,000000,1168.0000000,1396
YNDX,D,20140620,000000,1175.0000000,2702
YNDX,D,20140623,000000,1196.0000000,14081
YNDX,D,20140624,000000,1191.8000000,3895
YNDX,D,20140625,000000,1176.8000000,3949
YNDX,D,20140626,000000,1185.0000000,2392
YNDX,D,20140627,000000,1185.0000000,1148
YNDX,D,20140630,000000,1218.0000000,8749
YNDX,D,20140701,000000,1218.2000000,3036
YNDX,D,20140702,000000,1200.0000000,33473
YNDX,D,20140703,000000,1192.0000000,25562
YNDX,D,20140704,000000,1186.0000000,2133
YNDX,D,20140707,000000,1160.0000000,19359
YNDX,D,20140708,000000,1113.4000000,26565
YNDX,D,20140709,000000,1094.0000000,19416
YNDX,D,20140710,000000,1077.8000000,11216
YNDX,D,20140711,000000,1099.3000000,35563
YNDX,D,20140714,000000,1118.9000000,6192
YNDX,D,20140715,000000,1114.3000000,2789
YNDX,D,20140716,000000,1106.5000000,7340
YNDX,D,20140717,000000,1088.0000000,7221
YNDX,D,20140718,000000,1072.3000000,7144
YNDX,D,20140721,000000,1047.5000000,8353
YNDX,D,20140722,000000,1060.0000000,10468
YNDX,D,20140723,000000,1056.2000000,5286
YNDX,D,20140724,000000,1077.8000000,5186
YNDX,D,20140725,000000,1075.1000000,5127
YNDX,D,20140728,000000,1055.0000000,3992
YNDX,D,20140729,000000,1116.0000000,11794
YNDX,D,20140730,000000,1120.0000000,3075
YNDX,D,20140731,000000,1087.7000000,4886
YNDX,D,20140801,000000,1062.2000000,6621
YNDX,D,20140804,000000,1089.5000000,7073
YNDX,D,20140805,000000,1094.6000000,528
YNDX,D,20140806,000000,1060.1000000,3329
YNDX,D,20140807,000000,1054.5000000,3528
YNDX,D,20140808,000000,1033.5000000,7617
YNDX,D,20140811,000000,1053.0000000,13759
YNDX,D,20140812,000000,1052.1000000,15203
YNDX,D,20140813,000000,1054.6000000,2194
YNDX,D,20140814,000000,1053.1000000,3752
YNDX,D,20140815,000000,1041.0000000,3461
YNDX,D,20140818,000000,1032.0000000,5929
YNDX,D,20140819,000000,1089.0000000,16771
YNDX,D,20140820,000000,1109.7000000,6577
YNDX,D,20140821,000000,1089.2000000,10737
YNDX,D,20140822,000000,1050.0000000,16800
YNDX,D,20140825,000000,1061.6000000,2679
YNDX,D,20140826,000000,1056.0000000,3465
YNDX,D,20140827,000000,1062.1000000,457
YNDX,D,20140828,000000,1055.0000000,10192
YNDX,D,20140829,000000,1050.0000000,7012
YNDX,D,20140901,000000,1055.5000000,184
YNDX,D,20140902,000000,1087.6000000,1756
YNDX,D,20140903,000000,1116.8000000,49804
YNDX,D,20140904,000000,1119.0000000,13818
YNDX,D,20140905,000000,1159.6000000,15060
YNDX,D,20140908,000000,1173.7000000,12370
YNDX,D,20140909,000000,1157.3000000,1918
YNDX,D,20140910,000000,1149.0000000,3514
YNDX,D,20140911,000000,1149.9000000,3651
YNDX,D,20140912,000000,1173.7000000,4322
YNDX,D,20140915,000000,1230.0000000,26905
YNDX,D,20140916,000000,1176.8000000,41461
YNDX,D,20140917,000000,1174.1000000,22336
YNDX,D,20140918,000000,1164.1000000,17206
YNDX,D,20140919,000000,1148.5000000,18414
YNDX,D,20140922,000000,1135.2000000,9633
YNDX,D,20140923,000000,1125.0000000,11478
YNDX,D,20140924,000000,1130.0000000,12744
YNDX,D,20140925,000000,1154.0000000,16402
YNDX,D,20140926,000000,1162.0000000,8653
YNDX,D,20140929,000000,1131.3000000,15825
YNDX,D,20140930,000000,1130.7000000,18896
YNDX,D,20141001,000000,1091.0000000,10869
YNDX,D,20141002,000000,1035.0000000,9479
YNDX,D,20141003,000000,1078.0000000,7397
YNDX,D,20141006,000000,1082.0000000,12208
YNDX,D,20141007,000000,1069.0000000,6037
YNDX,D,20141008,000000,1036.0000000,5456
