номер,город,население
1,Москва,5046.0
2,Санкт-Петербург,3003.0
3,Нижний_Новгород,941.0
4,Новосибирск,885.0
5,Самара,806.0
6,Екатеринбург,779.0
7,Челябинск,689.0
8,Казань,667.0
9,Пермь,629.0
10,Ростов-на-Дону,600.0
11,Волгоград,591.0
12,Омск,581.1
13,Саратов,579.0
14,Уфа,547.0
15,Воронеж,447.0
16,Красноярск,412.0
17,Ярославль,407.0
18,Новокузнецк,380.0
19,Иркутск,366.0
20,Тула,351.0
21,Иваново,338.0
22,Нижний_Тагил,338.0
23,Хабаровск,323.0
24,Краснодар,313.0
25,Магнитогорск,311.0
26,Барнаул,303.0
27,Астрахань,295.8
28,Владивосток,291.0
29,Кемерово,289.0
30,Ижевск,285.0
31,Прокопьевск,282.0
32,Оренбург,267.0
33,Архангельск,262.9
34,Тверь,261.0
35,Пенза,255.5
36,Киров,252.0
37,Грозный,250.0
38,Томск,249.0
39,Мурманск,222.0
40,Рязань,214.0
41,Брянск,207.0
42,Ульяновск,206.0
43,Курск,205.0
44,Калининград,204.0
45,Таганрог,202.0
46,Шахты,196.0
47,Рыбинск,182.0
48,Комсомольск-на-Амуре,177.0
49,Орск,176.0
50,Улан-Удэ,174.0
51,Кострома,172.0
52,Тамбов,172.0
53,Чита,172.0
54,Владикавказ,164.0
55,Дзержинск,164.0
56,Копейск,162.0
57,Златоуст,161.0
58,Смоленск,160.0
59,Липецк,157.0
60,Владимир,154.0
61,Орёл,150.0
62,Тюмень,150.0
63,Бийск,146.0
64,Курган,146.0
65,Каменск-Уральский,141.0
66,Петрозаводск,141.0
67,Ставрополь,141.0
68,Вологда,139.0
69,Сызрань,138.0
70,Ангарск,134.4
71,Калуга,134.0
72,Ленинск-Кузнецкий,132.0
73,Киселёвск,130.7
74,Подольск,129.0
75,Сочи,127.0
76,Новочеркасск,123.0
77,Черемхово,121.7
78,Махачкала,119.0
79,Коломна,118.0
80,Норильск,118.0
81,Анжеро-Судженск,115.6
82,Армавир,111.0
83,Рубцовск,111.0
84,Стерлитамак,111.0
85,Орехово-Зуево,108.3
86,Новомосковск,107.0
87,Березники,106.0
88,Серпухов,106.0
89,Новошахтинск,104.0
90,Уссурийск,104.0
91,Белово,100.0
92,Ковров,99.0
93,Мытищи,99.0
94,Миасс,98.0
95,Серов,98.0
96,Электросталь,97.0
97,Благовещенск,95.0
98,Люберцы,95.0
99,Чебоксары,94.0
100,Новороссийск,93.0
101,Ногинск,93.0
102,Череповец,92.0
103,Саранск,91.0
104,Энгельс,91.0
105,Первоуральск,90.0
106,Йошкар-Ола,89.0
107,Нальчик,88.0
108,Петропавловск-Камчатский,86.0
109,Южно-Сахалинск,85.5
110,Кинешма,85.4
111,Чапаевск,83.3
112,Воркута,83.2
113,Соликамск,82.9
114,Майкоп,82.2
115,Коркино,81.4
116,Псков,81.0
117,Мичуринск,80.6
118,Северодвинск,78.7
119,Елец,78.0
120,Кисловодск,78.0
121,Троицк,76.3
122,Сергиев_Посад,74.0
123,Якутск,74.0
124,Канск,73.8
125,Лысьва,73.0
126,Белгород,72.3
127,Королёв,72.0
128,Муром,72.0
129,Тольятти,72.0
130,Пятигорск,70.0
131,Сарапул,69.0
132,Сыктывкар,69.0
133,Волжский,67.0
134,Осинники,67.0
135,Кунгур,64.8
136,Октябрьский,64.7
137,Шуя,64.6
138,Вышний_Волочёк,64.4
139,Балашов,64.3
140,Находка,64.0
141,Асбест,62.8
142,Новокуйбышевск,62.7
143,Магадан,62.2
144,Вольск,61.8
145,Краснотурьинск,61.7
146,Бугульма,61.0
147,Великий_Новгород,61.0
148,Салават,61.0
149,Кизел,60.7
150,Чусовой,60.7
151,Зеленодольск,60.5
152,Егорьевск,59.8
153,Воткинск,59.7
154,Белорецк,59.3
155,Великие_Луки,59.0
156,Глазов,59.0
157,Балашиха,58.0
158,Щёлково,57.8
159,Каменск-Шахтинский,57.5
160,Кузнецк,56.9
161,Камышин,56.5
162,Свободный,56.3
163,Абакан,56.0
164,Артём,55.1
165,Ейск,55.0
166,Павловский_Посад,55.0
167,Ревда,54.9
168,Бузулук,54.8
169,Краснокамск,54.7
170,Междуреченск,54.5
171,Новотроицк,54.5
172,Борисоглебск,54.4
173,Гусь-Хрустальный,54.2
174,Кропоткин,54.0
175,Узловая,53.6
176,Клин,53.3
177,Гуково,53.0
178,Котлас,52.6
179,Шадринск,52.3
180,Батайск,52.0
181,Чистополь,51.9
182,Вичуга,51.7
183,Выборг,51.1
184,Черногорск,51.1
185,Димитровград,50.7
186,Ачинск,50.3
187,Тихорецк,49.7
188,Боровичи,49.5
189,Ржев,49.0
190,Альметьевск,48.6
191,Белогорск,48.6
192,Партизанск,48.5
193,Усолье-Сибирское,48.5
194,Ессентуки,48.0
195,Тавда,48.0
196,Павлово,47.9
197,Ишим,47.8
198,Химки,47.8
199,Дербент,47.3
200,Алапаевск,47.1
201,Губаха,47.1
202,Полевской,47.1
203,Ишимбай,46.6
204,Юрга,46.6
205,Раменское,46.5
206,Алексин,46.3
207,Жигулёвск,46.1
208,Кушва,46.1
209,Пушкин,45.6
210,Мончегорск,45.5
211,Щёкино,45.5
212,Ирбит,45.3
213,Инта,45.2
214,Карпинск,45.2
215,Воскресенск,44.8
216,Кулебаки,44.1
217,Сатка,43.1
218,Братск,43.0
219,Бугуруслан,42.5
220,Бор,42.0
221,Клинцы,42.0
222,Лабинск,41.9
223,Тулун,41.8
224,Жуковский,41.7
225,Сокол,41.7
226,Черкесск,41.7
227,Арзамас,41.5
228,Кимры,41.2
229,Мариинск,40.8
230,Биробиджан,40.7
231,Кировск,40.5
232,Выкса,40.3
233,Кронштадт,40.3
234,Ступино,40.3
235,Минеральные_Воды,40.1
236,Азов,39.9
237,Красный Сулин,39.9
238,Барабинск,39.8
239,Невинномысск,39.8
240,Вязники,39.7
241,Железнодорожный,39.6
242,Спасск-Дальний,39.6
243,Кимовск,39.5
244,Моршанск,39.4
245,Красноуральск,39.3
246,Славянск-на-Кубани,39.0
247,Нижнеудинск,38.8
248,Лениногорск,38.6
249,Зима,38.5
250,Минусинск,38.3
251,Фурманов,38.2
252,Кольчугино,37.9
253,Лиски,37.6
254,Рославль,37.4
255,Верхняя_Салда,37.3
256,Красноуфимск,37.3
257,Кандалакша,37.1
258,Великий_Устюг,37.0
259,Алатырь,36.9
260,Верхний_Уфалей,36.9
261,Александров,36.7
262,Гатчина,36.7
263,Туапсе,36.7
264,Волхов,36.6
265,Аша,36.5
266,Тобольск,36.5
267,Медногорск,36.3
268,Ухта,36.1
269,Балаково,36.0
270,Белореченск,35.9
271,Наро-Фоминск,35.4
272,Донецк,35.3
273,Сланцы,35.3
274,Красногорск,35.2
275,Георгиевск,35.1
276,Сальск,35.0
277,Торжок,34.9
278,Артёмовский,34.8
279,Колпино,34.8
280,Заозёрный,34.7
281,Михайловка,34.6
282,Кызыл,34.5
283,Грязи,34.4
